,nea_person_id,full_name_lastfirst,full_name_firstlast,given_name_middle,family_name,nea_grant_year,other_nea_grant,country,us_state,hometown,birth_year,gender,race_ethnicity,ba,ba2,ma,ma2,phd,mfa,mfa2,post45_hathi_entry
0,19,"Adams, Leonie",Leonie Adams,Leonie,Adams,1966,,USA,NY,New York,1899,female,uniden,Barnard College,,,,,,,
1,177,"Belitt, Ben",Ben Belitt,Ben,Belitt,1966,,USA,VT,Bennington,1911,male,uniden,University of Virginia,,University of Virginia,,,,,
2,235,"Bird, Laurel",Laurel Bird,Laurel,Bird,1966,,USA,TN,Knoxville,,female,uniden,,,,,,,,
3,282,"Bourjaily, Vance",Vance Bourjaily,Vance,Bourjaily,1966,1979,USA,IA,Iowa City,1922,male,uniden,Bowdoin College,,,,,,,
4,303,"Brasfield, Samuel",Samuel Brasfield,Samuel,Brasfield,1966,,USA,AL,Demopolis,,male,uniden,,,,,,,,
5,355,"Brown, William",William Brown,William,Brown,1966,,USA,NC,Graham,,male,uniden,,,,,,,,
6,378,"Bundgaard, R. Michael",R. Michael Bundgaard,R. Michael,Bundgaard,1966,,USA,CO,Colorado Springs,,male,uniden,,,,,,,,
7,613,"Cunningham, James",James Cunningham,James,Cunningham,1966,,USA,MA,Waltham,,male,uniden,,,,,,,,
8,628,"D'Arconte, Oreste",Oreste D'Arconte,Oreste,D'Arconte,1966,,USA,PA,Allentown,,male,uniden,University of Pennsylvania,,,,,,,
9,633,"Dahlberg, Edward",Edward Dahlberg,Edward,Dahlberg,1966,1973,USA,NY,New York,1900,male,uniden,Columbia University,,,,,,,Yes
10,690,"Denney, Reuel",Reuel Denney,Reuel,Denney,1966,,USA,HI,Honolulu,1913,male,uniden,Dartmouth College,,,,,,,
11,748,"Drake, Barbara",Barbara Drake,Barbara,Drake,1966,1986,USA,OR,Portland,1939,female,white,University of Oregon,,,,,University of Oregon,,
12,859,"Ferguson, Margaret",Margaret Ferguson,Margaret,Ferguson,1966,,USA,VA,Richmond,,female,uniden,,,,,,,,
13,873,"Finlay, John",John Finlay,John,Finlay,1966,,USA,AL,Tuscaloosa,1941,male,uniden,University of Alabama Tuscaloosa,,University of Alabama Tuscaloosa,,,,,
14,967,"Garrett, George",George Garrett,George,Garrett,1966,,USA,VA,Charlottesville,1929,male,uniden,Princeton University,,Princeton University,,Princeton University,,,Yes
15,1013,"Glazer, Myra",Myra Glazer,Myra,Glazer,1966,,USA,MA,Cambridge,,female,uniden,,,,,,,,
16,1098,"Guerard, Albert",Albert Guerard,Albert,Guerard,1966,,USA,CA,Stanford,1914,male,uniden,Stanford University,,Harvard University,,Stanford University,,,
17,1156,"Harriman, Grace",Grace Harriman,Grace,Harriman,1966,,USA,MA,Cambridge,,female,uniden,,,,,,,,
18,1163,"Harris, Mark",Mark Harris,Mark,Harris,1966,,USA,CA,San Francisco,1922,male,uniden,University of Denver,,University of Denver,,University of Minnesota,,,Yes
19,1189,"Hay, John William",John William Hay,John William,Hay,1966,,USA,TN,Sewanee,,male,uniden,,,,,,,,
20,1401,"Justice, Donald",Donald Justice,Donald,Justice,1966,"1979, 1989",USA,FL,Gainesville,1925,male,uniden,University of Miami,,University of North Carolina Chapel Hill,,University of Iowa,University of Iowa,Stanford University,
21,1459,"Kennedy, X.J.",X. J. Kennedy,X.J.,Kennedy,1966,,USA,MA,Medford,1929,male,white,Seton Hall University,,Columbia University,,University of Michigan Ann Arbor,,,
22,1576,"Langland, Joseph",Joseph Langland,Joseph,Langland,1966,,USA,MA,Amherst,1917,male,uniden,University of Iowa,,University of Iowa,,,,,
23,1598,"LeCount, David",David LeCount,David,LeCount,1966,,USA,AK,College,,male,uniden,University of Alaska Anchorage,,,,,University of Massachusetts Amherst,,
24,1697,"Lytle, Andrew",Andrew Lytle,Andrew,Lytle,1966,,USA,TN,Sewanee,1902,male,uniden,Vanderbilt University,,,,,Yale University,,
25,1779,"Matthew, David",David Matthew,David,Matthew,1966,,USA,NY,New York,,male,uniden,,,,,,,,
