author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Abichandani, Jaishri ",1,1969,F,Indian,Asian,India,Foreign,1,1984,"India, United States, England",NY,"Bombay, New York City, London",Graduate,Master's,Y,Goldsmith's College,N,N/A,"En Foco 2000 New Works Photography Award, Brooklyn Information & Culture Artist Honoree, Urban Artist's Initiative Award, and more"
"Acharya, Manish",1,1967,M,Indian,Asian,India,Foreign,1,,"United States, India",,Mumbai,Graduate,Master's,Y,New York University,,,
"Adachi, Jeff",1,1959,M,Japanese,Asian,United States,Native,4,N/A,United States,CA,,Graduate,JD,N,University of California Hastings,N,N/A,
"Adams, Ansel",1,1902,M,,,United States,Native,,N/A,United States,CA,San Francisco,No High School,N/A,N,N/A,N,N/A,"Presidential Medal of Freedom, Royal Photographic Society Fellowship, American Academy of Arts and Sciences Fellowship, and more"
"Adichie, Chimamanda Ngozi",1,1977,F,Nigerian,Black,Nigeria,Foreign,1,1996,"Nigeria, United States","CT, MD","Lagos, Baltimore, Nsukka, Windham, New Haven",Graduate,Master's,Y,John's Hopkins University,N,N/A,"Hodder Fellowship, Radcliffe Institute of Harvard University Fellowship, MacArthur Fellowship, and more"
"Agari, Yotenchi",1,1890,M,Japanese,Asian,Japan,Foreign,1,1915,"Japan, United States","CA, AR, CO",,,,,,N,N/A,
"Alam, Fariba",1,,F,Bangladeshi,Asian,,,,,United States,NY,New York City,Graduate,Master's,N,New York University,N,N/A,Fulbright Fellowship
"Albers, Clem",1,1903,M,,,United States,Native,,N/A,United States,CA,Berkeley,,,,,,,
Albert Saijo,1,1926,M,Japanese,Asian,United States,Native,2,N/A,United States,"CA, HI",Los Angeles,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,
"Alexander, Meena",10,1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association"
"Alexandra, Tiana",2,1956,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1966,"South Vietnam, United States",VA,,Some High School,None,N,N/A,N,N/A,
"Alexie, Sherman",1,1966,M,Couer d'Alene-Spokane,Native American,United States,Native,N/A,N/A,United States,WA,,Undergraduate,Bachelor's,N,Washington State University,N,N/A,National Endowment for the Arts Fellowship
"Ali, Agha Shahid",3,1949,M,Indian,Asian,India,Foreign,1,1976,"India, United States",,,Graduate,PhD,Y,Pennsylvania State University,Y,"University of Massachusetts Amherst, Bennington College, New York University, and more",Guggenheim Fellowship
"Alvar, Mia",1,1978,F,Filipinx,Asian,Philippines,Foreign,1.5,1988,"Philippines, Bahrain, United States","MA, NY, CA","Cambridge, New York City, Santa Monica",Graduate,Master's,Y,Columbia University,Y,Columbia University,"Sewanee Writer's Conference Fellowship, Bread Loaf Writer's Conference Fellowship, Writer in Residence at the Corporation of Yaddo, and more"
"Alvarez, Julia",4,1950,F,Dominican,Latinx,United States,Native,,N/A,"Dominican Republic, United States","NY, CT, VT",,Graduate,Master's,Y,Syracuse University,Y,Middlebury College,"National Endowment for the Arts, National Medal of of Arts"
"Anderson, John Murray",1,1886,M,,,Canada,Foreign,1,,"United States, Scotland, Switzerland",NY,New York City,Undergraduate,Bachelor's,N,Lausanne University,N,N/A,
"Antin, Mary",1,1881,F,Jewish,Jewish,Russian Empire (present-day Belarus),Foreign,1,1894,United States,NY,New York City,Some Undergraduate,,N,Columbia University,N,N/A,
"Aoki, Ryka",1,,TF,Japanese,Asian,United States,Native,,N/A,United States,"CA, NY","Ithaca, Los Angeles",Graduate,Master's,Y,Cornell University,Y,Santa Monica College,"Eli Coppola Chapbook Winner, Corson-Bishop Poetry Prize, University Award from the Academy of American Poets"
"Apostol, Gina",1,1963,F,Filipinx,Asian,Philippines,Foreign,1,,"Philippines, United States","MA, NY",New York City,Graduate,Master's,Y,Johns Hopkins University,N,N/A,
"Appel, Benjamin",1,1907,M,Euro American,White,United States,Native,,N/A,United States,"NY, NJ",New York City,Undergraduate,Bachelor's,N,Lafayette College,N,N/A,
"Aquino, Nina",1,,F,Filipinx,Asian,Philippines,Foreign,N/A,N/A,Canada,,Ottawa,Graduate,Master's,Y,University of Toronto,Y,York University,"John Hirsch Prize Canada Council for the Arts, Margo Bindhart and Rita Davies Cultural Leadership Award, Dora Mavor Moore Awards"
"Araki, Gregg",4,1959,M,Japanese,Asian,United States,Native,2,N/A,United States,CA,"Santa Barbara, Los Angeles",Graduate,Master's,Y,University of Southern California,N,N/A,
"Araki, Mari",1,,F,Japanese,Asian,Japan,Foreign,,,"Japan, United States",CA,Los Angeles,,,,Pasadena Art Center College of Design,,,
"Arredondo, Ines",1,1928,F,Mexican,Latinx,Mexico,N/A,N/A,N/A,Mexico,,,Undergraduate,Bachelor's,N,National Autonomous University of Mexico,N,N/A,
"Bacho, Peter",1,1950,M,Filipinx,Asian,United States,Native,,N/A,United States,WA,,Graduate,JD,N,University of Washington,Y,Evergreen State College Tacoma,
"Ballard, J. G.",1,1930,M,English,White,China,N/A,N/A,N/A,"China, England, Canada",N/A,Shanghai,Some Undergraduate,High School Diploma,N,Leys School,N,N/A,
Bambu,3,,M,Filipinx,Asian,United States,Native,2,N/A,United States,CA,"Los Angeles, Oakland",Some High School,None,N,N/A,N,N/A,
"Bancroft, Tony",2,1967,M,Euro American,White,United States,Native,,N/A,United States,CA,Los Angeles,Some Undergraduate,,N,California Institute of the Arts,N,N/A,
"Banerjee, Anjali",1,,F,Indian,Asian,India,Foreign,1.5,,"United States, Canada",CA,Santa Barbara,,,,University of California Berkeley,,,
"Barroga, Jeannie",3,1949,F,Filipinx,Asian,United States,Native,2,N/A,United States,"WI, CA",,Undergraduate,Bachelor's,N,University of Wisconsin Milwaukee,Y,"California State University Monterey Bay, Colorado College",
"Barry, Lynda",4,1956,F,Euro American-Filipinx,Multiracial Asian-White,United States,Native,,N/A,United States,"WA, WI",,Undergraduate,Bachelor's,N,Evergreen State College,Y,University of Wisconsin Madison,
"Bastos, Augusto Roa",1,1917,M,Paraguayan,Latinx,Paraguay,N/A,N/A,N/A,"Paraguay, Argentina, France",,,,,N,,Y,University of Toulouse,Guggenheim Fellowship
"Bateman, David",1,,M,,White,Canada,N/A,N/A,N/A,Canada,,,Graduate,PhD,N,University of Calgary,Y,"Trent University, Thompson Rivers University, University of Calgary, and more",
"Bates, Judy Fong",1,1949,F,Chinese,Asian,China,Foreign,N/A,N/A,"China, Canada",N/A,Toronto,Undergraduate,Bachelor's,N,University of Toronto,Y,University of Toronto,
"Bear, Greg",1,1951,M,Euro American,White,United States,Native,,N/A,United States,WA,,Undergraduate,Bachelor's,N,San Diego State University,N,N/A,
"Beck, Louis Joseph",1,,,,,,,,,,,,,,,,,,
"Bee, Aevee",1,,F,,,,,,,,,,,,,,,,
"Bell, Monta",1,1891,M,Euro American,White,United States,Native,,N/A,,,,,,,,,,
"Benrimo, Joseph Harry",1,1874,M,,,United States,Native,,,,,,,,,,,,
"Berg, Peter",1,1964,M,,,,,,,United States,NY,,Undergraduate,Bachelor's,N,Macalaster College,N,N/A,
"Berssenbrugge, Mei-mei",4,1947,F,Chinese-Euro American,Multiracial Asian-White,China,Foreign,1.5,,United States,"MA, NM",,Graduate,Master's,Y,Columbia University,N,N/A,National Endowment for the Arts Fellowship
"Bierce, Ambrose",2,1842,M,Euro American,White,United States,Native,,N/A,,,,Some High School,None,N,N/A,N,N/A,
"Bilal, Wafaa",1,1966,M,Iraqi,MENA,Iraq,Foreign,1,,"Iraq, United States",,,Graduate,Master's,Y,Art Institute of Chicago,Y,New York University,
"Blitz, Jeffrey",1,,M,,Multiracial Jewish-White,United States,Native,2,N/A,United States,NJ,,Graduate,,,University of Southern California,,,"Primetime Emmy Award, News and Documentary Emmy Award, "
"Bo, Saum Song",1,,M,Chinese,Asian,,Foreign,1,,,,,,,,,,,
"Boggs, Grace Lee",1,1915,F,Chinese,Asian,United States,Native,2,N/A,United States,"RI, NY, PA, IL, MI","Providence, New York City, Chicago, Detroit",Graduate,PhD,N,Bryn Mawr,N,N/A,National Women's Hall of Fame
"Borden, Robert",1,,,,,,,,,,,,,,,,,,
"Boublil, Alain",3,1941,M,Tunisian,MENA,Tunisia (French colony),N/A,N/A,N/A,,,,,,,,N,N/A,
"Brakhage, Stan",1,1933,M,,,United States,Native,,N/A,United States,"CO, CA, NY","Denver, San Francisco, New York City",High School,High School Diploma,N,South High School,Y,"University of Colorado Boulder, Art Institute of Chicago",
"Briggs, John R.",1,,,,,,,,,,,,,,,,,,
"Brontë, Charlotte",1,1816,F,English,White,England,Foreign,N/A,N/A,England,N/A,,,,,,,,
Bruno Mars,1,1985,M,Filipinx-Jewish-Puerto Rican,Multiracial Asian-Jewish-Latinx,United States,Native,2,N/A,United States,"HI, CA","Honolulu, Los Angeles",High School,High School Diploma,N,President Theodore Roosevelt High School,N,N/A,Grammy Awards
"Buck, Pearl",4,1892,F,Euro American,White,United States,Native,,N/A,"China, United States",PA,,Graduate,Master's,N,Cornell University,N,N/A,Nobel Prize
"Budhos, Marina Tamar",1,1960,F,Indian-Jewish,Multiracial Asian-Jewish,United States,Native,2,N/A,United States,NY,New York City,Graduate,Master's,N,Brown University,Y,William Paterson University,"National Endowmen for the Arts Literature Fellowship, Rona Jaffe Award for Women Writers, New Jersey Council on the Arts Fellowship, and more"
"Bui, Thi",2,1975,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1978,"South Vietnam, United States",CA,Berkeley,Graduate,Master's,Y,Bard College,Y,California College of the Arts,"Bill Sorro Community Activist Honoree, Bellagio Residency Rockefeller Foundation Fellow, Alameda County Women’s Hall of Fame, and more"
"Bui, Tony",1,1973,M,Vietnamese,Asian,South Vietnam,Foreign,1.5,,"South Vietnam, United States",CA,Sunnyvale,Undergraduate,Bachelor's,N,Loyola Marymount University,Y,Columbia University,Humanitas Prize
"Bulosan, Carlos",31,1913,M,Filipinx,Asian,Philippines (United States territory),Foreign,1,1930,"Philippines, United States","WA, CA",Seattle,Some High School,None,N,N/A,N,N/A,
"Butler, Robert Olen",2,1945,M,Euro American,White,United States,Native,,N/A,,,,Graduate,Master's,N,University of Iowa,Y,Florida State University,
"Byler, Eric",3,1972,M,Chinese-Euro American,Multiracial Asian-White,United States,Native,,N/A,United States,"HI, CA, VA",,Undergraduate,Bachelor's,N,Wesleyan University,N,N/A,
