title,publication_year,genre,publisher,text_awards,nyt_bestseller,author_name,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards,scholarship_title,scholar_name,scholarship_year,scholarship_venue,mla_doi,2_author_name,2_birth_year,2_gender,2_ethnicity_national_origin_group,2_race,2_birth_nation,2_native_foreign,2_immigrant_generation,2_immigration_year,2_nations,2_states,2_cities,2_education_level,2_degree,2_mfa,2_degree_institution,2_university_teacher,2_teaching_institution,2_author_awards,3_author_name,3_birth_year,3_gender,3_ethnicity_national_origin_group,3_race,3_birth_nation,3_native_foreign,3_immigrant_generation,3_immigration_year,3_nations,3_states,3_cities,3_education_level,3_degree,3_mfa,3_degree_institution,3_university_teacher,3_teaching_institution,3_author_awards,4_author_name,4_birth_year,4_gender,4_ethnicity_national_origin_group,4_race,4_birth_nation,4_native_foreign,4_immigrant_generation,4_immigration_year,4_nations,4_states,4_cities,4_education_level,4_degree,4_mfa,4_degree_institution,4_university_teacher,4_teaching_institution,4_author_awards,,,,,,"Abichandani, Jaishri ",1969,F,Indian,Asian,India,Foreign,1,1984,"India, United States, England",NY,"Bombay, New York City, London",Graduate,Master's,Y,Goldsmith's College,N,N/A,"En Foco 2000 New Works Photography Award, Brooklyn Information & Culture Artist Honoree, Urban Artist's Initiative Award, and more",Sculpting Queer Futures for Survival: Jaishri Abichandani’s Everyday Deities,"Khubchandani, Kareem",2023,Theatre Journal,202330226015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loins of Punjab Presents,2007,Film,Horn OK Please Entertainment,,N/A,"Acharya, Manish",1967,M,Indian,Asian,India,Foreign,1,,"United States, India",,Mumbai,Graduate,Master's,Y,New York University,,,,Terrifying Performances: Black-Brown-Queer Borrowings in Loins of Punjab Presents,"Khubchandani, Kareem",2016,Journal of Asian American Studies,2017382956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slanted Screen,2006,Film,,,N/A,"Adachi, Jeff",1959,M,Japanese,Asian,United States,Native,4,N/A,United States,CA,,Graduate,JD,N,University of California Hastings,N,N/A,,Straitjacket Sexualities: Unbinding Asian American Manhoods in the Movies,"Shimizu, Celine Parreñas",2012,N/A,2012030450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Adams, Ansel",1902,M,,,United States,Native,,N/A,United States,CA,San Francisco,No High School,N/A,N,N/A,N,N/A,"Presidential Medal of Freedom, Royal Photographic Society Fellowship, American Academy of Arts and Sciences Fellowship, and more",The Spaces of Human Confinement: Manzanar Photography and Landscape Ideology,"Phu, Thy",2008,Journal of Asian American Studies,10.1353/jaas.0.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americanah,2013,Novel,Knopf Doubleday,"National Book Critics Circle Award for Fiction, The Chicago Tribune Heartland Prize for Fiction",N,"Adichie, Chimamanda Ngozi",1977,F,Nigerian,Black,Nigeria,Foreign,1,1996,"Nigeria, United States","CT, MD","Lagos, Baltimore, Nsukka, Windham, New Haven",Graduate,Master's,Y,John's Hopkins University,N,N/A,"Hodder Fellowship, Radcliffe Institute of Harvard University Fellowship, MacArthur Fellowship, and more",Battle Hymn of the AfropolitanSino-African Futures in Ghana Must Go and Americanah,"Fan, Christopher T.",2017,Journal of Asian American Studies,10.1353/jaas.2017.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Agari, Yotenchi",1890,M,Japanese,Asian,Japan,Foreign,1,1915,"Japan, United States","CA, AR, CO",,,,,,N,N/A,,There is Always Tomorrow: An Anthology of Wartime Haiku,"de Cristoforo, Violet Kazue Matsuda",1993,Amerasia Journal,10.17953/amer.19.1.8511636263g7737r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Albers, Clem",1903,M,,,United States,Native,,N/A,United States,CA,Berkeley,,,,,,,,Double Capture: Native Americans in WRA internment Photography,"Phu, Thy",2016,Amerasia Journal,10.17953/aj.42.1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Albert Saijo,1926,M,Japanese,Asian,United States,Native,2,N/A,United States,"CA, HI",Los Angeles,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,,Haiku on the Road: Albert Saijo's Contested Historical Legacy,"Masatsugu, Michael",2013,Amerasia Journal,10.17953/amer.39.3.7071616487706160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Lines,1993,Prose Nonfiction,Feminist Press,,N/A,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association","""Mother Weight Carried across Borders"": Migrant Materiality and the Maternal in Meena Alexander’s Fault Lines: A Memoir (2003)","Haragos, Szidonia",2021,Life Writing,202121932700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Lines,1993,Prose Nonfiction,Feminist Press,,N/A,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association","""Who Wants Pale, Thin, Pink Flesh?"": Bharati Mukherjee, Whiteness, and South Asian American Writing","Maxey, Ruth",2006,Textual Practice,2006300153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Lines,1993,Prose Nonfiction,Feminist Press,,N/A,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",Diasporic Longings,"Mani, Bakirathi",2021,Asian American Literature in Transition,202223748496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Lines,1993,Prose Nonfiction,Feminist Press,,N/A,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",Negotiating Identities: An Introduction to Asian American Women's Writing,"Grice, Helena Manchester",2002,N/A,2002534273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Lines,1993,Prose Nonfiction,Feminist Press,,N/A,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",South Asian American Writers: Geography and Memory,"Katrak, Ketu H.",1996,Amerasia Journal,10.17953/amer.22.3.053p640g44912217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan Music,1997,Novel,Mercury House,,N,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",Cities of Others: Reimagining Urban Spaces in Asian American Literature,"Zhou, Xiaojing",2014,N/A,2015305141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan Music,1997,Novel,Mercury House,,N,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",How to Be South Asian in America: Narratives of Ambivalence and Belonging,"Jain, Anupama",2011,N/A,2011032226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nampally Road,1991,Novel,Mercury House,,N,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association","""Who Wants Pale, Thin, Pink Flesh?"": Bharati Mukherjee, Whiteness, and South Asian American Writing","Maxey, Ruth",2006,Textual Practice,2006300153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nampally Road,1991,Novel,Mercury House,,N,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",The Doors to Home and History: Post-colonial Identities in Meena Alexander and Bharati Mukherjee,"Shilpa, Davé",1993,Amerasia Journal,10.17953/amer.19.3.v751w38g2643n7v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Alexander, Meena",1951,F,Indian,Asian,India,Foreign,1,1980,"India, Sudan, England, France, United States",NY,New York City,Graduate,PhD,N,University of Nottingham,Y,"Hunter College, Columbia University","Guggenheim Fellowship, National Endowment for the Humanities Fellowship, Distinguished Achievement Award South Asian Literary Association",The World Next Door: South Asian American Literature and the Idea of America,"Srikanth, Rajini",2004,N/A,2005534257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Hollywood to Hanoi,1992,Film,Indochina Film Arts Foundation,,N/A,"Alexandra, Tiana",1956,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1966,"South Vietnam, United States",VA,,Some High School,None,N,N/A,N,N/A,,Identities in Motion: Asian American Film and Video,"Feng, Peter X.",2002,N/A,2002440633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Hollywood to Hanoi,1992,Film,Indochina Film Arts Foundation,,N/A,"Alexandra, Tiana",1956,F,Vietnamese,Asian,South Vietnam,Foreign,1.5,1966,"South Vietnam, United States",VA,,Some High School,None,N,N/A,N,N/A,,Lost in the Media Jungle: Tiana Thi Thanh Nga's Hollywood Mimicry,"Feng, Peter",1997,Amerasia Journal,10.17953/amer.23.2.27775u781vj8663t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
