,vol,no,vol.no,total_pages,year,month,article_title,page_start,page_end,author,category,graphics,notes,volunteer,unique_id
0,1,1,01.1,8,1976,October,Editor's Note?,2,2,Carol Seajay,Editor's Note,No,,Li-Anne Wright,FBNDDA1
1,1,1,01.1,8,1976,October,Hot New Books,2,3,Carol Seajay,Booklist/Medialist,No,,Li-Anne Wright,FBNDDA2
2,1,1,01.1,8,1976,October,Books in Spanish,3,5,Carol Seajay,Booklist/Medialist,No,,Li-Anne Wright,FBNDDA3
3,1,1,01.1,8,1976,October,Brilliant Ideas,5,5,Carol Seajay,Short News,No,,Li-Anne Wright,FBNDDA4
4,1,1,01.1,8,1976,October,Coming Soon,5,5,Carol Seajay,Other,No,Preview of next issue,Li-Anne Wright,FBNDDA5
5,1,1,01.1,8,1976,October,Last Chance New Titles,6,6,Carol Seajay,Other,No,very short,Li-Anne Wright,FBNDDA6
6,1,1,01.1,8,1976,October,Mission/About Newsletter,1,1,André,Editor's Note,No,,Li-Anne Wright,FBNDDA7
7,1,1,01.1,8,1976,October,Come be midwife to our birthing Old Wives' Tales,7,7,Unknown,Advertisements,No,Women's Visions and Books party on Halloween,Li-Anne Wright,FBNDDA8
8,1,1,01.1,8,1976,October,"Rising Woman Books, Santa Rosa, California, had a burglary",8,8,Unknown,Short News,No,,Li-Anne Wright,FBNDDA9
9,1,2,01.2,12,1976,November,[No title],1,1,Unknown,Table of Contents,No,,Andréanne Wahlman,FBNDDA10
10,1,2,01.2,12,1976,November,Letters to the newsletter,1,4,Betsy; Francine [31st Street Bookstore; Baltimore]; Betty [Alternative Booksellers]; Moonyean Womansplace; Elana Dykewoman [As Lesbian Gardens Bookstore; Northampton]; Lyndall [Full Moon]; Rising Woman Books; Karyn [Womanbooks].,Letters,No,,Andréanne Wahlman,FBNDDA11
11,1,2,01.2,12,1976,November,Young Women & Youth Liberation Booklist,6,6,Carol Seajay; Youth Liberation Bookstore,Booklist/Medialist,No,,Andréanne Wahlman,FBNDDA12
12,1,2,01.2,12,1976,November,"The following is a list of titles that can be placed in the ""lesbian section"" of a bookstore.",9,12,Lyndall Cowan [Full Moon Bookstore; San Francisco],Booklist/Medialist,No,"""A list of 136 titles that can be placed in the ""lesbian section"" of a bookstore.""",Andréanne Wahlman,FBNDDA13
13,1,2,01.2,12,1976,November,[No title],1,1,André; Carol Seajay,Editor's Note,No,A quick word about this new issue,Andréanne Wahlman,FBNDDA14
14,1,2,01.2,12,1976,November,News!,4,4,Unknown,News Feature,No,Mother Right bookstore opened; Rising Woman Books has moved; Carol and André details their expanses for the first FBN Issue.,Andréanne Wahlman,FBNDDA15
15,1,2,01.2,12,1976,November,Native American Woman,5,5,Unknown,Booklist/Medialist,No,,Andréanne Wahlman,FBNDDA16
16,1,2,01.2,12,1976,November,Black Women,5,5,Unknown,Booklist/Medialist,No,,Andréanne Wahlman,FBNDDA17
17,1,2,01.2,12,1976,November,Distributors,6,7,Unknown,Booklist/Medialist,No,A list of distributors,Andréanne Wahlman,FBNDDA18
18,1,2,01.2,12,1976,November,New Titles,7,8,Unknown,Booklist/Medialist,No,,Andréanne Wahlman,FBNDDA19
19,1,3,01.3,13,1977,January,Things you always wanted to know...,11,12,Carol Seajay,Other,No,"Some tips, addresses, discounts, etc.",Andréanne Wahlman,FBNDDA20
