record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_episode,predictions,source
madden_memoirs_1733,Q17068855,Memoirs of the Twentieth Century,Samuel Madden,1733,1997,264,,fiction,epistolary novel,https://en.wikipedia.org/wiki/Memoirs_of_the_Twentieth_Century,,,,Predicts the dominance of Catholicism in the 20th century. The novel correctly predicted that the Ottoman Empire would collapse in the 20th century and that a British monarch named George VI would reign during that century.,wikipast
madden_reign_1763,Q64448555,"The Reign of George VI, 1900-1925",Samuel Madden,1763,1900,137,,fiction,futuristic fiction,,https://openpublishing.psu.edu/utopia/content/reign-george-vi-1900-1925,,,"Although the novel is mostly on war, an enlightened monarch encourages architecture, art, and literature and builds a city for the nobility and rich commoners where he established various academies and a university.",wikidata
mercier_l’an_1771,Q82530,"L’An 2440, rêve s´il en fut jamais",Louis-Sébastien Mercier,1771,2440,669,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Year_2440,,,,,wikicategory; wikidata
wolff_holland_1777,Q64472284,Holland in the Year 2440,Betje Wolff,1777,2440,663,,fiction,futuristic fiction,,,,,,wikidata
wessel_anno_1781,Q3443600,Anno 7603,Johan Herman Wessel,1781,7603,5822,,fiction,futuristic fiction,,,,,,wikidata
simonsz_het_1793,Q64448798,Het toekomende jaar 3000,Arend Fokke Simonsz,1793,3000,1207,,fiction,futuristic fiction,,,,,,wikidata
zschokke_schwarzen_1793,Q64452513,Die Schwarzen Brüder,Heinrich Zschokke,1793,2222,429,,fiction,futuristic fiction,,,,,,wikidata
paape_revolutionaire_1798,Q64472917,Revolutionaire droom,Gerrit Paape,1798,1998,200,,fiction,futuristic fiction,,,,,,wikidata
mehring_das_1798,Q64474255,Das Jahr 2500,Daniel Gottlieb Gebhard Mehring,1798,2500,702,,fiction,futuristic fiction,,,,,,wikidata
ruh_guirlanden_1800,Q64452611,Guirlanden um Die Urnen der Zukunft,A. K. Ruh,1800,2270,470,,fiction,futuristic fiction,,,,,,wikidata
voss_ini_1810,Q64452658,Ini. Roman aus dem ein und zwanzigsten Jahrhundert,Julius von Voss,1810,1900,90,,fiction,futuristic fiction,,,,,,wikidata
lévis_les_1810,Q64448129,Les Voyages de Kang-Hi,"Pierre Marc Gaston de Lévis, Duke of Lévis",1810,1910,100,,fiction,futuristic novel,,,,,,wikidata
ulybyshev_dream_1819,Q64476877,A dream,Alexander Ulybyshev,1819,2119,300,,fiction,futuristic fiction,,,,,,wikidata
kotzebue_hundertjdhrigen_1821,Q64455652,Die hundertjdhrigen Eichen oder das Jahr 1914,August von Kotzebue,1821,1914,93,,fiction,futuristic fiction,,,,,,wikidata
bodin_paris_1822,Q64457296,Paris en 5839,Félix Bodin,1822,5839,4017,,fiction,futuristic fiction,,,,,,wikidata
bodin_athènes_1822,Q64491398,Athènes en 1840,Félix Bodin,1822,1840,18,,fiction,futuristic fiction,,,,,,wikidata
bulgarin_plausible_1824,Q19211015,Plausible Fantasies or a Journey in the 29th century,Faddey Bulgarin,1824,2824,1000,,fiction,futuristic fiction,,,,,,wikidata
voss_berlin_1824,Q64455279,Berlin im Jahre 1924,Julius von Voss,1824,1924,100,,fiction,futuristic fiction,,,,,,wikidata
shelley_last_1826,Q2323961,The Last Man,Mary Shelley,1826,2087,261,2073-2100,fiction,post-apocalyptic fiction,https://en.wikipedia.org/wiki/The_Last_Man,,Median of the years depicted in the work.,,,wikicategory; wikidata
loudon_mummy!_1827,Q7752629,The Mummy!,Jane Wells Webb Loudon,1827,2126,299,,fiction,futuristic fiction,https://en.wikipedia.org/wiki/The_Mummy!,,,,,wikidata
mickiewicz_history_1829,Q9292943,History of the Future [Historia przyszłości],Adam Mickiewicz,1829,2100,271,2000-2200,fiction,,https://pl.wikipedia.org/wiki/Historia_przysz%C5%82o%C5%9Bci,,,,"Unfinished novel written by Adam Mickiewicz. The first version of the novel from 1829 presented the world in the year 2000 which was dominated by China, it also shows Poland regaining independence, predicting women's rights worldwide, access to electronic devices, interplanetary communication, and contact with alien civilizations.",wikipast
veltman_3448_1833,Q64449163,3448 A.D.: a manuscript by Martin Zadek,Alexander Veltman,1833,3448,1615,,fiction,futuristic fiction,,,,,,wikidata
bodin_roman_1834,Q64447983,Le Roman de l’avenir,Félix Bodin,1834,1950,116,,fiction,futuristic fiction,,,,,,wikidata
holgate_sojourn_1835,Q17026028,"A Sojourn in the City of Amalgamation, in the Year of Our Lord, 19--",Jerome B. Holgate,1835,1900,65,,fiction,novel,"https://en.wikipedia.org/wiki/A_Sojourn_in_the_City_of_Amalgamation,_in_the_Year_of_Our_Lord,_19--",,,,An American anti-abolitionist satire set in a future city where racial mixing of blacks and whites is socially mandatory. Correctly predicts the abolition of slavery in the US by the 20th century.,wikipast
odoevsky_year_1926,Q7776570,The Year 4338: Petersburg Letters,Vladimir Odoevsky,1835,4338,2503,,fiction,science fiction novel,https://en.wikipedia.org/wiki/The_Year_4338:_Petersburg_Letters,,,,,wikicategory; wikidata; wikitext
griffith_three_1836,Q7797537,"Three Hundred Years Hence; Or, A Voice from Posterity",Mary Griffith,1836,2136,300,,fiction,science fiction novel,https://en.wikipedia.org/wiki/Three_Hundred_Years_Hence,,,,,wikidata
souvestre_monde_1846,Q3224728,Le Monde tel qu'il sera,Émile Souvestre,1846,3000,1154,,fiction,futuristic fiction,,,,,,wikidata
mosquera_madrid_1847,Q64489125,Madrid en el siglo XXI,Antonio Neira de Mosquera,1847,2000,153,,fiction,futuristic fiction,,,,,,wikidata
poe_mellonta_1849,Q17636369,Mellonta Tauta,Edgar Allan Poe,1849,2848,999,,fiction,futuristic fiction,,,,,,wikidata
gagne_l’unitéide_1858,none,L’Unitéide,Etienne-Paulin Gagne,1858,2000,142,,fiction,,https://en.wikipedia.org/wiki/Paulin_Gagne,,"Future date for L’Unitéide cited in article for La Dernier Homme, a work that inspired it https://en.wikipedia.org/wiki/Le_Dernier_Homme",,,wikitext
lang_air_1859,Q64456182,"The Air Battle, A Vision of the Future",Herrmann Lang,1859,6900,5041,,fiction,futuristic fiction,,,,,,wikidata
bonnardot_archeopolis_1859,Q64456379,Archeopolis,Alfred Bonnardot,1859,9000,7141,,fiction,futuristic fiction,,,,,,wikidata
nievo_storia_1860,Q16964530,Storia filosofica dei secoli futuri,Ippolito Nievo,1860,2222,362,,fiction,satirical fiction,,,,,,wikidata
verne_paris_1863,Q794866,Paris in the Twentieth Century,Jules Verne,1863,1961,98,,fiction,science fiction,https://en.wikipedia.org/wiki/Paris_in_the_Twentieth_Century,,,,"Published 1994. Predicted gas-powered cars (and gas stations), fax machines, electric street lighting, maglev trains, the record industry, the internet, WMDs and many other things.",wikipast
harting_anno_1865,Q64494800,Anno 2065,Pieter Harting,1865,2065,200,,fiction,futuristic fiction,,,,,,wikidata
mettais_l’an_1865,Q64529748,L’an 5865 ou Paris dans 4000 ans,Hippolyte Mettais,1865,5865,4000,,fiction,futuristic fiction,,,,,,wikidata
santos_pages_1868,Q64489558,Pages in the History of Brazil written in the Year 2000,Joaquim Felício dos Santos,1868,2000,132,,fiction,futuristic fiction,,,,,,wikidata
moilin_paris_1869,Q19222402,Paris en l’an 2000,Tony Moilin,1869,2000,131,,fiction,futuristic fiction,,,,,,wikidata
bergsøe_flyvefisken_1870,Q64485126,"Flyvefisken ""Prometheus""",Jörgen Vilhem Bergsøe,1870,1969,99,,fiction,futuristic fiction,,,,,,wikidata
chesney_battle_1871,Q7715857,The Battle of Dorking,George Tomkyns Chesney,1871,1925,54,,fiction,polemical lampoon,https://en.wikipedia.org/wiki/The_Battle_of_Dorking,,,,"Depicts an invasion of the United Kingdom by Germany. Set a short but undetermined amount of time after the Franco-Prussian War (1870–1871), but narrated by a veteran 50 years afterwards. Established the invasion literature genre and predicted a Civil War in an independent Ireland.",wikipast
jókai_novel_1872,Q64456751,A novel of the next century,Mór Jókai,1872,1900,28,,fiction,futuristic fiction,,,,,,wikidata
maricourt_la_1874,Q64494829,La Commune en l’an 2073,René Du Mesnil de Maricourt,1874,2073,199,,fiction,futuristic fiction,,,,,,wikidata
pellerin_monde_1878,Q64494838,Le Monde dans deux mille ans,Georges Pellerin,1878,3878,2000,,fiction,futuristic fiction,,,,,,wikidata
trollope_fixed_1882,Q7734312,The Fixed Period,Anthony Trollope,1882,1980,98,,fiction,futuristic fiction,https://en.wikipedia.org/wiki/The_Fixed_Period,,,,,wikidata; wikitext
calvet_dans_1884,Q64494861,Dans mille ans,Emile Calvet,1884,2880,996,,fiction,futuristic fiction,,,,,,wikidata
suehiro_plum_1886,Q64503725,Plum Blossoms in the Snow,Techō Suehiro,1886,2040,154,,fiction,futuristic fiction,,,,,,wikidata
suehiro_setchūbai_1886,Q11659841,Setchūbai,Techō Suehiro,1886,1889,3,,fiction,政治小説,https://en.wikipedia.org/wiki/Setchūbai,,"Frame story begins ""October 3, 2040 (Meiji 173). . . . The primary story is set in the years 1886–1890 (Meiji 19–23)."" https://en.wikipedia.org/wiki/Setch%C5%ABbai",,,wikicategory
bellamy_looking_1888,Q1305106,Looking Backward,Edward Bellamy,1888,2000,112,,fiction,political novel,https://en.wikipedia.org/wiki/Looking_Backward,,,,"In 2000, the United States is a socialist utopia. The novel predicted debit cards/credit cards and shopping malls.[3][4]",wikipast
vogel_anno_1889,Q4769577,"Anno Domini 2000, or, Woman's Destiny",Julius Vogel,1889,2000,111,,fiction,science fiction,"https://en.wikipedia.org/wiki/Anno_Domini_2000,_or,_Woman's_Destiny",,,,"In 2000, female suffrage has been achieved throughout the British Empire, which has become an Imperial Federation. Ireland has become an independent state. As a result of Emperor Albert's refusal to marry the daughter of the President of the United States, war breaks out between the Federated British Empire and the United States. The Empire wins the war and the defeated US is reabsorbed into the Empire. Correctly predicts the spread of female suffrage and Ireland becoming a sovereign state.",wikipast
verne_au_1889,Q64531968,Au XXIXe siècle. La journée d’un journaliste américain en 2889.,Jules Verne,1889,2889,1000,,fiction,social science fiction,,,,,,wikidata
mitchell_last_1889,Q7745568,The Last American,John Ames Mitchell,1889,2951,1062,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Last_American_(novel),,,,,wikicategory
michaelis_looking_1890,Q64505950,Looking forward,Richard C. Michaelis,1890,2000,110,,fiction,futuristic fiction,,,,,,wikidata
morris_news_1890,Q7019506,News from Nowhere,William Morris,1890,1952,62,,fiction,social science fiction,https://en.wikipedia.org/wiki/News_from_Nowhere,,,,"In 1952, a violent revolution in the United Kingdom overthrew capitalism, which eventually resulted in the creation of a socialist utopia.",wikipast
wasserburg_etwas_1891,Q64503848,Etwas später! Fortsetzung von Bellamy's Rückblick aus dem Jahre 2000,Philipp Wasserburg,1891,2000,109,,fiction,futuristic novel,,,,,,wikidata
mccullough_golf_1892,Q5580636,Golf in the Year 2000,J. McCullough,1892,2000,108,,fiction,novel,https://en.wikipedia.org/wiki/Golf_in_the_Year_2000,,,,A man falls asleep in 1892 and wakes up in the year 2000; trains are supersonic and golf and politics are the only activities not yet dominated by masculinized women.,wikipast
shelonsky_in_1892,Q64495746,In the World of the Future,Nikolai Shelonsky,1892,2892,1000,,fiction,futuristic fiction,,,,,,wikidata
brooks_earth_1893,Q5327116,Earth Revisited,Byron Alden Brooks,1893,1992,99,,fiction,novel,https://en.wikipedia.org/wiki/Earth_Revisited,,,,"In 1992, the United States of America and the United States of Europe dominate world affairs and there are no more wars. The city of Columbia, formerly New York, is cleaner, better organized, more peaceful, healthier and generally better than before. Electrification (generated by solar power) and mechanization have brought widespread prosperity and the extremes of wealth and poverty have been levelled. Government has assumed more responsibility: all land is owned by the state and people lease the sites of their palatial houses.",wikipast
griffith_angel_1893,Q7713775,The Angel of the Revolution,George Griffith,1893,1903,10,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Angel_of_the_Revolution,,,,"The Brotherhood of Freedom, an association of anarchists, socialists and nihilists, established a Pax Aeronautica over Earth using aircraft. Correctly predicted the first heavier-than-air flight would occur in late 1903.",wikipast
browne_2894_1894,Q4632702,2894,Walter Browne,1894,2894,1000,,fiction,novel,https://en.wikipedia.org/wiki/2894_(novel),,,,,wikicategory
iv_journey_1894,Q4657515,A Journey in Other Worlds,John Jacob Astor IV,1894,2000,106,,fiction,science fiction novel,https://en.wikipedia.org/wiki/A_Journey_in_Other_Worlds,,,,"By 2000, the United States is a superpower spanning multiple continents. By this time, solar power, air travel and space travel are commonplace. The Arctic Ocean is being dammed and Earth's axial tilt is being adjusted.",wikipast
flammarion_omega_1894,Q7089969,Omega: The Last Days of the World,Camille Flammarion,1894,2400,506,,fiction,apocalyptic novel,https://en.wikipedia.org/wiki/Omega:_The_Last_Days_of_the_World,,,,,wikidata
queux_great_1894,Q7737983,The Great War in England in 1897,William Le Queux,1894,1897,3,,fiction,novel,https://en.wikipedia.org/wiki/The_Great_War_in_England_in_1897,,,,"In 1897, France and Russia invade the UK and make several early advances, but the tide is turned when Germany comes to the UK's aid.",wikipast
chambers_repairer_1895,Q7760200,The Repairer of Reputations,Robert W. Chambers,1895,1920,25,,fiction,Gothic literature,https://en.wikipedia.org/wiki/The_Repairer_of_Reputations,,,,,wikicategory
wells_time_1895,Q627333,The Time Machine,H. G. Wells,1895,802701,800806,,fiction,time-travel fiction,https://en.wikipedia.org/wiki/The_Time_Machine,,,,,wikitext
lockwood_1900_1896,Q41751970,"1900, or the Last President",Ingersoll Lockwood,1896,1900,4,,fiction,novel,https://en.wikipedia.org/wiki/Ingersoll_Lockwood,,,,Depicts a world in which political uprisings cause the collapse of the US in the year 1900.[1],wikipast
mantegazza_year_1897,Q7776568,"The Year 3,000",Paolo Mantegazza,1897,3000,1103,,fiction,satirical fiction,"https://en.wikipedia.org/wiki/The_Year_3,000",,,,,wikicategory
