,record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_series,predictions,source
0,madden_memoirs_1733,Q17068855,Memoirs of the Twentieth Century,Samuel Madden,1733,1997.0,264.0,,prose fiction,epistolary novel,https://en.wikipedia.org/wiki/Memoirs_of_the_Twentieth_Century,,,,Predicts the dominance of Catholicism in the 20th century. The novel correctly predicted that the Ottoman Empire would collapse in the 20th century and that a British monarch named George VI would reign during that century.,wikipast
1,madden_reign_1763,Q64448555,"The Reign of George VI, 1900-1925",Samuel Madden,1763,1900.0,137.0,,prose fiction,futuristic,,https://openpublishing.psu.edu/utopia/content/reign-george-vi-1900-1925,,,"Although the novel is mostly on war, an enlightened monarch encourages architecture, art, and literature and builds a city for the nobility and rich commoners where he established various academies and a university.",wikidata
2,mercier_l’an_1771,Q82530,"L’An 2440, rêve s´il en fut jamais",Louis-Sébastien Mercier,1771,2440.0,669.0,,prose fiction,science fiction,https://en.wikipedia.org/wiki/The_Year_2440,,,,,wikicategory; wikidata
3,wolff_holland_1777,Q64472284,Holland in the Year 2440,Betje Wolff,1777,2440.0,663.0,,prose fiction,futuristic,,,,,,wikidata
4,wessel_anno_1781,Q3443600,Anno 7603,Johan Herman Wessel,1781,7603.0,5822.0,,prose fiction,futuristic,,,,,,wikidata
5,simonsz_het_1793,Q64448798,Het toekomende jaar 3000,Arend Fokke Simonsz,1793,3000.0,1207.0,,prose fiction,futuristic,,,,,,wikidata
6,zschokke_schwarzen_1793,Q64452513,Die Schwarzen Brüder,Heinrich Zschokke,1793,2222.0,429.0,,prose fiction,futuristic,,,,,,wikidata
7,paape_revolutionaire_1798,Q64472917,Revolutionaire droom,Gerrit Paape,1798,1998.0,200.0,,prose fiction,futuristic,,,,,,wikidata
8,mehring_das_1798,Q64474255,Das Jahr 2500,Daniel Gottlieb Gebhard Mehring,1798,2500.0,702.0,,prose fiction,futuristic,,,,,,wikidata
9,ruh_guirlanden_1800,Q64452611,Guirlanden um Die Urnen der Zukunft,A. K. Ruh,1800,2270.0,470.0,,prose fiction,futuristic,,,,,,wikidata
10,voss_ini_1810,Q64452658,Ini. Roman aus dem ein und zwanzigsten Jahrhundert,Julius von Voss,1810,1900.0,90.0,,prose fiction,futuristic,,,,,,wikidata
11,lévis_les_1810,Q64448129,Les Voyages de Kang-Hi,"Pierre Marc Gaston de Lévis, Duke of Lévis",1810,1910.0,100.0,,prose fiction,futuristic,,,,,,wikidata
12,ulybyshev_dream_1819,Q64476877,A dream,Alexander Ulybyshev,1819,2119.0,300.0,,prose fiction,futuristic,,,,,,wikidata
13,kotzebue_hundertjdhrigen_1821,Q64455652,Die hundertjdhrigen Eichen oder das Jahr 1914,August von Kotzebue,1821,1914.0,93.0,,prose fiction,futuristic,,,,,,wikidata
14,bodin_paris_1822,Q64457296,Paris en 5839,Félix Bodin,1822,5839.0,4017.0,,prose fiction,futuristic,,,,,,wikidata
15,bodin_athènes_1822,Q64491398,Athènes en 1840,Félix Bodin,1822,1840.0,18.0,,prose fiction,futuristic,,,,,,wikidata
16,bulgarin_plausible_1824,Q19211015,Plausible Fantasies or a Journey in the 29th century,Faddey Bulgarin,1824,2824.0,1000.0,,prose fiction,futuristic,,,,,,wikidata
17,voss_berlin_1824,Q64455279,Berlin im Jahre 1924,Julius von Voss,1824,1924.0,100.0,,prose fiction,futuristic,,,,,,wikidata
