date,country,rank,title,author,nationality,gender,entry_id,publisher,publication_country
2013-06-01,France,1,In One Person,John Irving,United States,m,2013-06France1,Simon & Schuster,United States
2013-06-01,France,2,The Creation Of Words,Érik Orsenna,France,m,2013-06France2,Stock,France
2013-06-01,France,3,Next,Guillaume Musso,France,m,2013-06France3,XO,France
2013-06-01,France,4,Fifty Shades Darker,E. L. James,United Kingdom,w,2013-06France4,The Writers' Coffee Shop,Australia
2013-06-01,France,5,Daddy's Gone A Hunting,Mary Higgins Clark,United States,w,2013-06France5,Simon & Schuster,United States
2013-06-01,France,6,The Fifth Witness,Michael Connelly,United States,m,2013-06France6,"Little, Brown and Company",United States
2013-06-01,France,7,Fifty Shades of Grey,E. L. James,United Kingdom,w,2013-06France7,The Writers' Coffee Shop,Australia
2013-06-01,France,8,Fifty Shades Freed,E. L. James,United Kingdom,w,2013-06France8,The Writers' Coffee Shop,Australia
2013-06-01,France,9,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-06France9,Fallois,France
2013-06-01,France,10,Manuscript Found in Accra,Paulo Coelho,Brazil,m,2013-06France10,Sextante,Brazil
2013-06-01,Germany,1,The Lavender Garden,Lucinda Riley,United Kingdom,w,2013-06Germany1,Pan Macmillan,United Kingdom
2013-06-01,Germany,2,The Girl Who Reached For The Stars,Luca Di Fulvio,Italy,m,2013-06Germany2,Bastei Lübbe,Germany
2013-06-01,Germany,3,Down London Road,Samantha Young,United Kingdom,w,2013-06Germany3,Penguin,United Kingdom
2013-06-01,Germany,4,The Sleepwalker,Sebastian Fitzek,Germany,m,2013-06Germany4,Droemer Knaur,Germany
2013-06-01,Germany,5,The Bright Days,Zsuzsa Bank,Germany,w,2013-06Germany5,S. Fischer Verlag,Germany
2013-06-01,Germany,6,The Prague Cemetery,Umberto Eco,Italy,m,2013-06Germany6,Bompiani,Italy
2013-06-01,Germany,7,Tschick,Wolfgang Herrndorf,Germany,m,2013-06Germany7,Rowohlt Verlag,Germany
2013-06-01,Germany,8,Now You See Her,Joy Fielding,Canada,w,2013-06Germany8,Doubleday Canada,Canada
2013-06-01,Germany,9,The Lonely,Håkan Nesser,Sweden,m,2013-06Germany9,Manpocket,Sweden
2013-06-01,Germany,10,The Golden Shore,Iny Lorentz,Germany,m; w,2013-06Germany10,Droemer Knaur,Germany
2013-06-01,Italy,1,A Nest Of Vipers,Andrea Camilleri,Italy,m,2013-06Italy1,Sellerio Editore,Italy
2013-06-01,Italy,2,Zero Zero Zero,Roberto Saviano,Italy,m,2013-06Italy2,Feltrinelli,Italy
2013-06-01,Italy,3,I Love Only You,Luca Bianchini,Italy,m,2013-06Italy3,Mondadori,Italy
2013-06-01,Italy,4,A Beautiful Dream Of Love,Andrea Vitali,Italy,m,2013-06Italy4,Garzanti,Italy
2013-06-01,Italy,5,The Dream To Fly,Carlo Lucarelli,Italy,m,2013-06Italy5,Einaudi,Italy
2013-06-01,Italy,6,The Hypothesis Of Evil,Donato Carrisi,Italy,m,2013-06Italy6,Longanesi,Italy
2013-06-01,Italy,7,The Path To The Spiders' Nest,Italo Calvino,Italy,m,2013-06Italy7,Mondadori,Italy
2013-06-01,Italy,8,"White As Milk, Red As Blood",Alessandro D'Avenia,Italy,m,2013-06Italy8,Mondadori,Italy
2013-06-01,Italy,9,Eva: The Avengers,Massimo Carlotto; Marco Videtta,Italy; Italy,m; m,2013-06Italy9,Einaudi,Italy
2013-06-01,Italy,10,I Watch You,Irene Cao,Italy,w,2013-06Italy10,Rizzoli,Italy
2013-06-01,South Korea,1,Hector And The Search For Happiness,François Lelord,France,m,2013-06South Korea1,Odile Jacob,France
2013-06-01,South Korea,2,Goguryeo V: People's King,Kim Jin-myung,South Korea,m,2013-06South Korea2,Saeum,South Korea
2013-06-01,South Korea,3,Things You Can See When You Finally Stop,Haemin,South Korea,m,2013-06South Korea3,Saeum,South Korea
2013-06-01,South Korea,4,28,You-Jeong Jeong,South Korea,w,2013-06South Korea4,Eunhaengnamu,South Korea
2013-06-01,South Korea,5,Eight Words: Our Attitude Toward Life,Park Woong-Hyung,South Korea,m,2013-06South Korea5,Bughauseu,South Korea
2013-06-01,South Korea,6,I Want To Tell A Story To The Moon,Shin Kyung-sook,South Korea,w,2013-06South Korea6,Munhagdongne,South Korea
2013-06-01,South Korea,7,Aleph,Paulo Coelho,Brazil,m,2013-06South Korea7,Sextante,Brazil
2013-06-01,South Korea,8,Rumors Of A Woman,Hideo Okuda,Japan,m,2013-06South Korea8,Ohusesi,Japan
2013-06-01,South Korea,9,I Want To Have Fun Until I Die,Lee Geun-Hoo,South Korea,m,2013-06South Korea9,Gaellion,South Korea
2013-06-01,South Korea,10,The Art of Thinking Clearly,Rolf Dobelli,Switzerland,m,2013-06South Korea10,Hanser,Germany
2013-06-01,Spain,1,Inferno,Dan Brown,United States,m,2013-06Spain1,Doubleday,United States
2013-06-01,Spain,2,Compass Seeking Lost Smiles,Albert Espinosa,Spain,m,2013-06Spain2,Grijalbo,Spain
2013-06-01,Spain,3,The Lost Boy,Camilla Läckberg,Sweden,w,2013-06Spain3,Bokförlaget Forum,Sweden
2013-06-01,Spain,4,The Ridiculous Idea Of Not Seeing You Again,Rosa Montero,Spain,w,2013-06Spain4,Seix Barral,Spain
2013-06-01,Spain,5,The Master Of Prado,Javier Sierra,Spain,m,2013-06Spain5,Planeta,Spain
2013-06-01,Spain,6,Happiness Is Having Tea With You,Mamen Sánchez,Spain,w,2013-06Spain6,Espasa,Spain
2013-06-01,Spain,7,Mission Oblivion,María Dueñas,Spain,w,2013-06Spain7,Temas de Hoy,Spain
2013-06-01,Spain,8,Laughing In The Wind,Sandra Barneda,Spain,w,2013-06Spain8,Suma de letras,Spain
2013-06-01,Spain,9,A Dance with Dragons,George R. R. Martin,United States,m,2013-06Spain9,Bantam,United States
2013-06-01,Spain,10,The Barefoot Queen,Ildefonso Falcones,Spain,m,2013-06Spain10,Grijalbo,Spain
2013-06-01,United States,1,Inferno,Dan Brown,United States,m,2013-06United States1,Doubleday,United States
2013-06-01,United States,2,Dead Ever After,Charlaine Harris,United States,w,2013-06United States2,Ace,United States
2013-06-01,United States,3,Silken Prey,John Sandford,United States,m,2013-06United States3,Putnam,United States
2013-06-01,United States,4,12th Of Never,James Patterson; Maxine Paetro,United States; United States,m; w,2013-06United States4,"Little, Brown and Company",United States
2013-06-01,United States,5,The Hit,David Baldacci,United States,m,2013-06United States5,Grand Central,United States
2013-06-01,United States,6,A Delicate Truth,John le Carré,United Kingdom,m,2013-06United States6,Penguin,United Kingdom
2013-06-01,United States,7,Gone Girl,Gillian Flynn,United States,w,2013-06United States7,Crown,United States
2013-06-01,United States,8,Whiskey Beach,Nora Roberts,United States,w,2013-06United States8,Putnam,United States
2013-06-01,United States,9,A Step of Faith,Richard Paul Evans,United States,m,2013-06United States9,Simon & Schuster,United States
2013-06-01,United States,10,Best Kept Secret,Jeffrey Archer,United Kingdom,m,2013-06United States10,Macmillan,United Kingdom
2013-07-01,France,1,Inferno,Dan Brown,United States,m,2013-07France1,Doubleday,United States
2013-07-01,France,2,The Lost Boy,Camilla Läckberg,Sweden,w,2013-07France2,Bokförlaget Forum,Sweden
2013-07-01,France,3,Bloody Sunday,Alice Zeniter,France,w,2013-07France3,Albin Michel,France
2013-07-01,France,4,The Truth About the Harry Quebert Affair,Joël Dicker,Switzerland,m,2013-07France4,Fallois,France
2013-07-01,France,5,Fifty Shades of Grey,E. L. James,United Kingdom,w,2013-07France5,The Writers' Coffee Shop,Australia
2013-07-01,France,6,Fish Don't Close Their Eyes,Erri De Luca,Italy,m,2013-07France6,Feltrinelli,Italy
2013-07-01,France,7,Fifty Shades Darker,E. L. James,United Kingdom,w,2013-07France7,The Writers' Coffee Shop,Australia
2013-07-01,France,8,The Unbreakable Boy,Florence Seyvos,France,w,2013-07France8,Éditions De l'Olivier,France
2013-07-01,France,9,For Three Crowns,François Garde,France,m,2013-07France9,Éditions Gallimard,France
2013-07-01,France,10,In One Person,John Irving,United States,m,2013-07France10,Simon & Schuster,United States
2013-07-01,Germany,1,Crossfire (Series),Sylvia Day,United States,w,2013-07Germany1,Berkley,United States
2013-07-01,Germany,2,The Lavender Garden,Lucinda Riley,United Kingdom,w,2013-07Germany2,Pan Macmillan,United Kingdom
2013-07-01,Germany,3,Blackout,Marc Elsberg,Austria,m,2013-07Germany3,Blanvalet,Germany
2013-07-01,Germany,4,The Sisters From Hardscrabble Bay,Beverly Jensen,United States,w,2013-07Germany4,Viking Press,United States
