,graduate_id,graduate_name,institution,advisor_id,advisor_name,author_authorized_heading,author_lccn,author_viaf,author_wikidata,degree,genre,program,record_id,thesis_title,year
0,11,"Umans, Stanton Herbert",The University of Iowa,3184.0,"McGalliard, John",,,,,MFA,Fiction,Writers Workshop,10,Stag and other stories.,1948
1,101,"Moran, Kevin",The University of Iowa,3121.0,"Freedman, Ralph",,,,,MFA,Fiction,Writers Workshop,100,Woken up half in the Seine: a tirade. [A novel],1958
2,1001,"Gardner, Virginia",The University of Iowa,3704.0,"Matthews, William",,,,,MFA,Poetry,Writers Workshop,1000,Reserved for a glorious day.,1977
3,1003,"Gowin, Steven Ricki",The University of Iowa,3085.0,"Leggett, John",,,,,MFA,Fiction,Writers Workshop,1002,Lies and coffee.,1977
4,1004,"Green, Robin Lois",The University of Iowa,3085.0,"Leggett, John",,,87583239,Q7352432,MFA,Fiction,Writers Workshop,1003,Straight nose and other stories.,1977
5,1006,"Greene, Jeffrey",The University of Iowa,158.0,"Bell, Marvin Hartley",,,,,MFA,Poetry,Writers Workshop,1005,Poems.,1977
6,1007,"Gregerson, Linda Karen",The University of Iowa,3704.0,"Matthews, William","Gregerson, Linda",n83187938,29682677,Q6551613,MFA,Poetry,Writers Workshop,1006,The three-legged dog at the heart of our home.,1977
7,1009,"Guest, Cornelia Schermerhorn",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Poetry,Writers Workshop,1008,The last remains of an outdoor meal.,1977
8,1010,"Harada, Gail Naomi",The University of Iowa,3087.0,"Gluck, Louise",,,,,MFA,Poetry,Writers Workshop,1009,A light rain.,1977
9,102,"Tinio, Rolando Santos",The University of Iowa,3083.0,"Engle, Paul Hamilton",,,93651759,Q7360587,MFA,Poetry,Writers Workshop,101,The careers of Orpheus  [Poems],1958
10,1012,"Hinrichsen, Dennis Lee",The University of Iowa,3704.0,"Matthews, William",,,,,MFA,Poetry,Writers Workshop,1011,In the country.,1977
11,1013,"Holyoke, Nancy Ann",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1012,Negotiations and other stories.,1977
12,1014,"Huneven, Michelle Rebecca",The University of Iowa,3117.0,"Bourjaily, Vance","Huneven, Michelle, 1953-",n97015243,1748496,Q6837086,MFA,Fiction,Writers Workshop,1013,The nature of cars and other stories.,1977
13,1015,"Kane, Katherine",The University of Iowa,3087.0,"Gluck, Louise",,,,,MFA,Poetry,Writers Workshop,1014,The last meeting of half-hearts.,1977
14,1017,"Kramer, Sharon Lynn",The University of Iowa,3085.0,"Leggett, John",,,,,MFA,Fiction,Writers Workshop,1016,Tin chipmunks.,1977
15,1019,"Kuhlken, Kenneth Wayne",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1018,Filling my belly with the east wind.,1977
16,875,"LeFevre, Adam Andre",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Play,Playwrights Workshop,1019,Where did the Visigoths go?,1977
17,103,"Williams, Terry Marie",The University of Iowa,3083.0,"Engle, Paul Hamilton",,,,,MFA,Fiction,Writers Workshop,102,The legend of John O'Shea and other stories.,1958
18,1022,"McCoy, William Richard",The University of Iowa,3688.0,"Drexler, Rosalyn",,,,,MFA,Fiction,Writers Workshop,1021,The orchids.,1977
19,1024,"Mennenga, Gordon Walter",The University of Iowa,3688.0,"Drexler, Rosalyn",,,,,MFA,Fiction,Writers Workshop,1023,.167 and other stories,1977
20,1025,"Miller, Jane Ruth",The University of Iowa,3087.0,"Gluck, Louise","Miller, Jane, 1932-",n82139679,100648660,Q94110267,MFA,Poetry,Writers Workshop,1024,Hands.,1977
21,1026,"Myers, Gary Lee",The University of Iowa,3087.0,"Gluck, Louise",,,,,MFA,Poetry,Writers Workshop,1025,Waking by moonlight.,1977
22,1027,"Olsen, Eric Allen",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1026,In Turlock.,1977
23,1028,"O'Rourke, Michael Patrick",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1027,Lost and found.,1977
24,1029,"Pennybacker, Mindy Eunsoo",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1028,From the city to the sea.,1977
25,1030,"Purviance, Donald Gene",The University of Iowa,3085.0,"Leggett, John",,,,,MFA,Fiction,Writers Workshop,1029,Magwick: a collection of short stories.,1977
26,104,"Amland, David Andrew",The University of Iowa,,,,,,Q63383177,MFA,,Writers Workshop,103,Giotto non Giotto.,1959
27,1031,"Rogers, Thomas Norman Reed",The University of Iowa,3117.0,"Bourjaily, Vance",,n80086170,61668891,Q2426878,MFA,Fiction,Writers Workshop,1030,The child is father to the man.,1977
28,1033,"Schaeffer, Glenn William",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1032,Holy shaker; a novel in progress.,1977
29,1034,"Schneider, Steven Paul",The University of Iowa,,,,,,Q7615111,MFA,Poetry,Writers Workshop,1033,Lao Tzu's sister's dream.,1977
30,1036,"Sgarioto, Mary Nelle Stearns",The University of Iowa,,,,,,,MFA,Fiction,Writers Workshop,1035,The tuna ranch.,1977
31,1039,"Tate, William Dennis",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1038,Selected chapters from Mudfry along the Cedar.,1977
32,1040,"Unger, Douglas A.",The University of Iowa,3085.0,"Leggett, John",,n83162895,94668931,Q5302046,MFA,Fiction,Writers Workshop,1039,The turkey war.,1977
33,105,"Cunningham, Rex",The University of Iowa,,,,,,,MFA,Fiction,Writers Workshop,104,Wiltwyck [a novel] Part 1.,1959
34,1042,"Wallace, Donald Clare",The University of Iowa,3117.0,"Bourjaily, Vance",,,,,MFA,Fiction,Writers Workshop,1041,Grapestakes.,1977
