,id,author1,author1_normalized,author2,author3,author4,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,date,htid,hathi_rights,title,imprint,isbn,isbn_most_common_edition,lccn,oclc,oclc_owi,oclc_eholdings,oclc_holdings,person_id,place,publisher_marc
0,6141,"Warren, Robert Penn 1905-1989","Warren, Robert Penn",,,,"Warren, Robert Penn, 1905-1989",n78091524,61553765,Q312720,1962,uva.x000204923,und,"The circus in the attic, and other stories.","Harcourt, Brace [1962]",[],,[],"['1740051,4662010']",52424282.0,37.0,1162.0,4365,nyu,"Harcourt, Brace"
1,6142,"Grumbach, Doris.","Grumbach, Doris",,,,"Grumbach, Doris",n81003532,59245122,Q5297938,1962,uva.x000039467,pdus,The spoil of the flowers.,"Doubleday, 1962.",[],,['62015931'],['1375889'],2294656.0,16.0,77.0,3640,,Doubleday
2,6143,"Haldeman, Joe W.","Haldeman, Joe W.",,,,"Haldeman, Joe W.",n50018607,59083671,Q347461,2007,uva.x030285025,ic,The accidental time machine / Joe Haldeman.,"Ace Books, 2007.","['0441014992,9780441014996']",9780441014996,['2007006935'],['84903770'],68953618.0,53.0,1040.0,863,nyu,Ace Books
3,6144,"McGalliard, John Calvin.","McGalliard, John Calvin",,,,"McGalliard, John Calvin.",,48149486034193422791,,1930,uva.x000196991,ic,"Classical mythology in certain mediaeval treatments of the legends of Troy, Thebes, and Aeneas : a study in the literary paganism of the Middle Ages / by John Calvin McGalliard.",1930,[],,[],['2959792'],1864296392.0,0.0,6.0,3184,mau,
4,6145,"Prose, Francine 1947-","Prose, Francine",,,,"Prose, Francine, 1947-",n50020196,112469802,Q2427599,2002,uva.x004721987,ic,The lives of the muses : nine women & the artists they inspired / Francine Prose.,"Aurum, 2003, c2002.",['1854109448'],0060196726,[],['56348529'],887745.0,86.0,1233.0,3204,enk,Aurum
5,6146,"Hall, Oakley M.","Hall, Oakley M.",,,,"Hall, Oakley M.",n79134992,42004776,Q7074155,2001,uva.x004561425,ic,Ambrose Bierce and the death of kings / Oakley Hall.,"Viking, 2001.",['0670030074 (alk. paper)'],0670030074,['2001017990'],['46472039'],6122478.0,10.0,292.0,17,nyu,Viking
6,6147,"Foster, Patricia 1948-","Foster, Patricia",,,,"Foster, Patricia, 1948-",n00023569,79369105,,2000,uva.x004420623,ic,All the lost girls : confessions of a southern daughter / Patricia Foster.,"University of Alabama Press, c2000.",['0817310479 (alk. paper)'],0585382123,['00008355'],['43474646'],800055220.0,1555.0,322.0,3102,alu,University of Alabama Press
7,6148,"Dobyns, Stephen 1941-","Dobyns, Stephen",,,,"Dobyns, Stephen, 1941-",n50027452,85546337,Q7609076,1998,uva.x004224102,ic,Saratoga strongbox : a Charlie Bradshaw mystery / Stephen Dobyns.,"Viking, 1998.",['0670876925 (alk. paper)'],0670876925,['98002886'],['38389730'],567262.0,14.0,492.0,287,nyu,Viking
8,6149,"Hall, Oakley M.","Hall, Oakley M.",,,,"Hall, Oakley M.",n79134992,42004776,Q7074155,1996,uva.x004066790,ic,Warlock / Oakley Hall.,"University of Nevada Press, 1996.",['0874172683 (acid-free paper)'],9781590171615,['95000965'],['31971192'],1433654.0,53.0,1062.0,17,nvu,University of Nevada Press
9,6150,"Graham, Jorie 1950-","Graham, Jorie",,,,"Graham, Jorie, 1950-",n80002893,112072294,Q6278867,1996,uva.x006040742,ic,"The dream of the unified field : selected poems, 1974-1994 / Jorie Graham.","Carcanet, 1996.",['1857542258 (pbk) :'],0880014385,['gb 96023882'],['60307004'],9577840.0,24.0,1304.0,1074,enk,Carcanet
10,6151,"Irving, John 1942-","Irving, John",,,,"Irving, John, 1942-",n79135330,108238891,Q310379,1986,uva.x002532833,ic,The Hotel New Hampshire / John Irving.,"Black Swan, 1986, c1981.",['0552992097 (pbk) :'],052512800X,['gb 86022949'],"['14358113,59203266']",614234.0,141.0,4230.0,86,enk,Black Swan
11,6152,"Hejinian, Lyn.","Hejinian, Lyn",Zasterle Press publisher.,Jerome McGann Library (University of Virginia),,"Hejinian, Lyn",n82071099,44325651,Q6708326,1991,uva.x002107670,ic,The hunt / Lyn Hejinian.,"Zasterle Press, 1991.",[],,[],['24360539'],2864402135.0,2.0,33.0,3672,sp,Zasterle Press
12,6153,"McPherson, James Alan 1943-2016","McPherson, James Alan",,,,"McPherson, James Alan, 1943-2016",n86107938,112082623,Q355793,1969,uva.x000139981,ic,Hue and cry : short stories / by James Alan McPherson.,"Fawcett Crest, 1969.",['0449241920'],,[],['6063598'],486021.0,32.0,968.0,592,nyu,Fawcett Crest
13,6154,"Hall, Oakley M.","Hall, Oakley M.",,,,"Hall, Oakley M.",n79134992,42004776,Q7074155,1955,umn.31951002363099g,ic,The pawns of fear : a novel / by Jason Manor [pseud.].,"Viking Press, 1955.",[],,['55005870'],['1807376'],54081816.0,1.0,49.0,17,nyu,Viking Press
14,6155,"Schramm, Wilbur Lang 1907-","Schramm, Wilbur Lang",,,,"Schramm, Wilbur, 1907-1987",n79132416,110258866,Q8000236,1965,txu.059173025353049,ic,"Desarrollo de la comunicacioÌn y desarrollo econoÌmico, por Wilbur Schramm. [TraduccioÌn: JoseÌ J. FernaÌndez]","Instituto Interamericano de Ciencias AgriÌcolas de la OEA, 1965.",[],,[],['23709271'],,,,4324,cr,Instituto Interamericano de Ciencias Agrícolas de la OEA
15,6156,"Kidder, Tracy.","Kidder, Tracy",,,,"Kidder, Tracy",n81040847,52278563,Q338109,1974,txu.059173024375910,ic,The road to Yuba City; a journey into the Juan Corona murders.,"Doubleday, 1974.",[],0385028652,[],['1180080'],1862618231.0,11.0,254.0,790,nyu,Doubleday
16,6157,"Schramm, Wilbur Lang 1907-","Schramm, Wilbur Lang",,,,"Schramm, Wilbur, 1907-1987",n79132416,110258866,Q8000236,1971,txu.059173025459301,ic,TelevisioÌn y reforma educativa en El Salvador / Schramm.,"s.n., 1971?]",[],,[],['17023766'],1812600621.0,3.0,3.0,4324,xx,s.n.
17,6158,"Castellanos Moya, Horacio 1957-","Castellanos Moya, Horacio",,,,"Castellanos Moya, Horacio, 1957-",n80087278,10068135,Q719545,1981,txu.059173027943101,ic,"QueÌ signo es usted, ninÌƒa Berta? / Horacio Castellanos Moya.","Editorial Guaymuras, 1981.",[],,[],['9510734'],21678826.0,6.0,52.0,3100,ho,Editorial Guaymuras
18,6159,"Castellanos Moya, Horacio 1957-","Castellanos Moya, Horacio",,,,"Castellanos Moya, Horacio, 1957-",n80087278,10068135,Q719545,2008,txu.059173033060308,ic,Tirana memoria / Horacio Castellanos Moya.,"TusQuets Editores, 2008.","['8483830892,9788483830895']",9780811219174,[],['244068648'],141926429.0,26.0,517.0,3100,sp,TusQuets Editores
19,6160,"Castellanos Moya, Horacio 1957-","Castellanos Moya, Horacio",,,,"Castellanos Moya, Horacio, 1957-",n80087278,10068135,Q719545,1993,txu.059172130754070,ic,El gran masturbador : relatos / Horacio Castellanos Moya.,"Ediciones Arcoiris, 1993.",[],,['93219128'],['28704284'],910226101.0,2.0,28.0,3100,es,Ediciones Arcoiris
20,6161,"Castellanos Moya, Horacio 1957-","Castellanos Moya, Horacio",,,,"Castellanos Moya, Horacio, 1957-",n80087278,10068135,Q719545,2000,txu.059173006505864,ic,El asco : tres relatos violentos / Horacio Castellanos Moya.,"Editorial Casiopea, c2000.",['8495446049'],8495446049,['2001352539'],['46785486'],3372875709.0,2.0,44.0,3100,sp,Editorial Casiopea
21,6162,"Castellanos Moya, Horacio 1957-","Castellanos Moya, Horacio",,,,"Castellanos Moya, Horacio, 1957-",n80087278,10068135,Q719545,1980,txu.059173027908814,ic,Breve panorama de la literatura salvadorenÌƒa / Horacio Castellanos Moya.,"Escuela Superior del Profesorado ""Francisco MorazaÌn"", 1980.",[],,[],['10868726'],3166218.0,2.0,1.0,3100,ho,"Escuela Superior del Profesorado ""Francisco Morazán"""
22,6163,"Schramm, Wilbur Lang 1907-","Schramm, Wilbur Lang",,,,"Schramm, Wilbur, 1907-1987",n79132416,110258866,Q8000236,1964,txu.059173027880952,ic,Urbanization and the spread of information / Wilbur Schramm.,"Instituto Torcuato Di Tella, Centro de SociologiÌa Comparada, 1964.",[],,[],['4696552'],148446949.0,1.0,5.0,4324,ag,"Instituto Torcuato Di Tella, Centro de Sociología Comparada"
23,6164,"Marshall, Paule 1929-","Marshall, Paule",,,,"Marshall, Paule, 1929-2019",n82051028,108676051,Q3898198,1970,txu.059173018669235,ic,"The chosen place, the timeless people / Paule Marshall.","Longman, 1970, c1969.",['0582101131'],0394726332,[],['7029935'],452045.0,36.0,1335.0,3680,enk,Longman
24,6165,"Cisneros, Sandra.","Cisneros, Sandra",,,,"Cisneros, Sandra",n84021632,112460612,Q434164,1984,txu.059173017242552,ic,The house on Mango Street / by Sandra Cisneros.,"Arte PuÌblico Press, 1983, c1984.",['0934770204 (pbk.)'],0679734775,['82072278'],['10361038'],862349.0,354.0,6424.0,1061,txu,Arte Público Press
25,6166,"Griffith, Paul 1921-","Griffith, Paul",,,,"Griffith, Paul, 1921-1983",n83238832,6321053,,1950,osu.32435004913141,pdus,The mare's nest.,"Macmillan, 1950.",[],,['50009699'],['1748357'],2765900841.0,8.0,24.0,4333,nyu,
26,6167,"Gerber, John C.","Gerber, John C.",,,,"Gerber, John C.",n50016298,76341102,,9999,umn.31951p00616039a,ic,"The teaching of English at the University of Iowa : the first hundred years, 1861-1961 / John C. Gerber.","Maecenas Press : Distributor, Publications Order Dept., University of Iowa, Â©1995-",['0944266215 (v. 1) :'],0944266215,['94042955'],['31607733'],33355147.0,1.0,15.0,4342,iau,Maecenas Press :
27,6168,"Perelman, Robert Lawrence.","Perelman, Robert Lawrence",,,,,,,,1990,uc1.c3365238,ic,"The illegible narratives of modernist genius : Pound, Zukofsky, Stein, and Joyce / by Robert Lawrence Perelman.",1990,[],,[],['26521898'],,,,674,cau,
28,6169,"Veeder, William R.","Veeder, William R.",,,,"Veeder, William R.",n82018506,108435215,Q8019701,1969,uc1.c2973215,ic,Watch and Ward: the mixed beginning.,1969,[],,[],['29453654'],,,,197,xx,
29,6170,"Tate, James 1943-","Tate, James",,,,"Tate, James, 1943-2015",n78094025,57136,Q531155,1999,mdp.39015042086879,ic,The route as briefed / James Tate.,"University of Michigan Press, c1999.","['0472066919 (pbk. : alk. paper),0472096915 (alk. paper)']",0472096915,['99021653'],['40869799'],20854928.0,2.0,272.0,345,miu,University of Michigan Press
30,6171,"Levis, Larry.","Levis, Larry","Levine, Philip 1928-",,,"Levis, Larry",n80144979,92054633,Q6490699,1997,mdp.39015040064951,ic,Elegy / Larry Levis ; edited with a foreword by Philip Levine.,"University of Pittsburgh Press, c1997.","['0822956489 (pbk. : acid-free paper),0822940434 (acid-free paper)']",9780822990987,['97021097'],['37141106'],626985.0,1157.0,306.0,4397,pau,University of Pittsburgh Press
