person_id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata_qid,full_name,gender,given_name,hathi_id,hathi_rights,imprintdate,inferreddate,last_name,oclc,oclc_eholdings,oclc_holdings,oclc_owi,shorttitle
1891,"Bercovitch, Reuben","Bercovitch, Reuben",n85265603,11295941,,Reuben Bercovitch,unknown,Reuben,mdp.39015030947983,ic,1978,1978,Bercovitch,3396700.0,11.0,395.0,3855432226.0,Hasen : a novel
2322,"Abish, Walter","Abish, Walter",n80102276,96215590,Q213806,Walter Abish,male,Walter,uc1.b3464211,ic,1977,1977,Abish,3034528.0,11.0,373.0,470642.0,In the future perfect
2322,"Abish, Walter","Abish, Walter",n80102276,96215590,Q213806,Walter Abish,male,Walter,mdp.39015029965731,ic,1993,1993,Abish,26805844.0,11.0,465.0,29236443.0,Eclipse fever
378,"Adrian, Chris","Adrian, Chris, 1970-",n00032432,23370866,Q1076930,Chris Adrian,male,Chris,mdp.39015049989240,ic,2000,2000,Adrian,44541880.0,62.0,680.0,38606595.0,Gob's grief
378,"Adrian, Chris","Adrian, Chris, 1970-",n00032432,23370866,Q1076930,Chris Adrian,male,Chris,uc1.32106018461399,ic,2006,2006,Adrian,71260047.0,61.0,680.0,58223197.0,The children's hospital
960,"Agee, James","Agee, James, 1909-1955",n79039544,46756190,Q352963,James Agee,male,James,inu.30000117261648,ic,1979,1956,Agee,4755871.0,157.0,5886.0,533662.0,A death in the family
960,"Agee, James","Agee, James, 1909-1955",n79039544,46756190,Q352963,James Agee,male,James,mdp.39015073600093,ic,2007,2007,Agee,86110082.0,157.0,5886.0,533662.0,A death in the family : a restoration of the author's text
960,"Agee, James","Agee, James, 1909-1955",n79039544,46756190,Q352963,James Agee,male,James,mdp.39015062426500,ic,2005,2005,Agee,58422789.0,4.0,1408.0,1864205539.0,"Let us now praise famous men ; : A death in the family, & shorter fiction"
960,"Agee, James","Agee, James, 1909-1955",n79039544,46756190,Q352963,James Agee,male,James,mdp.39015004995091,ic,1972,1972,Agee,1863828.0,28.0,1233.0,556283.0,The collected short prose of James Agee
960,"Agee, James","Agee, James, 1909-1955",n79039544,46756190,Q352963,James Agee,male,James,pst.000029710478,ic,1969,1969,Agee,313456.0,157.0,5886.0,533662.0,A death in the family
