The Index of Major Literary Prizes in the US – Post45 Data Collective,,,,,,,,,,,,,,,,
full_name,gender,mfa_degree,role,prize_year,prize_name,prize_amount,prize_institution,prize_type,prize_genre,author_wikidata,author_viaf,author_lccn,elite_institution,graduate_degree,stegner,title_of_winning_book
Danez Smith,male,University of Michigan,winner,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q24572302,3.88145E+20,no2015133518,,graduate,,[Insert] Boy
Brian Kim Stefans,male,Brown University,judge,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q4964351,265064436,n2002029377,Brown University,graduate,,[Insert] Boy
Don Share,male,,judge,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q5293504,55730698,n88642863,Brown University,graduate,,[Insert] Boy
Chase Twichell,female,University of Iowa,judge,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q5087206,5.95149E+20,n81017543,,graduate,,[Insert] Boy
Stephanie Burt,female,,judge,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q7608816,34685160,n99832019,"Harvard University, Yale University",graduate,,[Insert] Boy
Elena Karina Byrne,female,,judge,2016,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q5359043,,,,,,[Insert] Boy
Herb Liebowitz,male,,judge,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,,,,,,,1-800-Hot-Ribs
John (Jack) Miles,male,,judge,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q45963,24716819,n94067984,Harvard University,graduate,,1-800-Hot-Ribs
Murray Schwartz,male,,judge,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,,,,,graduate,,1-800-Hot-Ribs
Peter Davison,male,,judge,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q7173576,64018487,n80061240,Harvard University,,,1-800-Hot-Ribs
Catherine Bowman,female,Columbia University,winner,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q5052550,9055769,n93045003,Columbia University,graduate,,1-800-Hot-Ribs
Sandra Gilbert,female,,judge,1994,Kate Tufts Discovery Award,"10,000.00  $",Claremont Graduate University,book,poetry,Q7416620,24683823,n83231304,"Cornell University, Columbia University",graduate,,1-800-Hot-Ribs
Campbell McGrath,male,Columbia University,judge,2014,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5028114,75419034,n88246386,"University of Chicago, Columbia University",graduate,,3 Sections
Vijay Seshadri,male,Columbia University,winner,2014,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q7929205,1733248,n96038513,Columbia University,graduate,,3 Sections
Adam Kirsch,male,,judge,2014,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q4679350,119488947,n2002024448,Harvard University,graduate,,3 Sections
Elizabeth Alexander,female,,judge,2014,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5362284,43023427,n88298598,"Yale University, University of Pennsylvania",graduate,,3 Sections
Stanley Kunitz,male,,judge,1965,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1974852,109638294,n79007720,Harvard University,graduate,,77 Dream Songs
