,person_id,full_name,given_name,last_name,author_wikidata,author_wikidata_label,author_viaf,author_lccn,gender,elite_institution,graduate_degree,mfa_degree,iowa_mfa_person_id,stegner,role,prize_institution,prize_name,prize_year,prize_genre,prize_type,prize_amount,title_of_winning_book
0,922,Inge Judd,Inge,Judd,,,,,unknown,,,,,,judge,National Book Foundation,National Book Award,1981,poetry,book,10000.0,The Need To Hold Still: Poems
1,922,Inge Judd,Inge,Judd,,,,,unknown,,,,,,judge,National Book Foundation,National Book Award,1982,prose,book,10000.0,"Rabbit Is Rich & So Long, See You Tomorrow"
2,922,Inge Judd,Inge,Judd,,,,,unknown,,,,,,judge,National Book Foundation,National Book Award,1982,prose,book,10000.0,"Rabbit Is Rich & So Long, See You Tomorrow"
3,1891,Reuben Bercovitch,Reuben,Bercovitch,,,11295941,n85265603,unknown,,,,,,winner,PEN America,Hemingway Award for Debut Novel,1979,prose,book,10000.0,Hasen
4,1807,Pauline Hanson,Pauline,Hanson,,,,,unknown,,,,,,winner,American Academy of Arts and Letters,Arts and Letters Awards,1972,no genre,career,10000.0,
5,1032,Jean Valentine,Jean,Valentine,Q14948838,Jean Valentine,161665325,n79027012,female,Radcliffe College,graduate,,,,winner,Yale University,Bollingen Prize for Poetry,2017,poetry,career,10000.0,
6,123,Andrea Lawlor,Andrea,Lawlor,Q97930223,Andrea Lawlor,26865645,no2008023022,nonbinary/they,,graduate,"University of Massachusetts, Amherst",,,winner,Whiting Foundation,Whiting Award,2020,no genre,career,50000.0,
7,1295,Kayleb Rae Candrilli,Kayleb Rae,Candrilli,Q114000161,Kayleb Rae Candrilli,16152259480816980360,no2018039785,nonbinary/they,,graduate,University of Alabama,,,winner,Whiting Foundation,Whiting Award,2019,no genre,career,50000.0,
8,1872,Raquelsalas Rivera,Raquelsalas,Rivera,,,,,nonbinary/he,University of Pennsylvania,graduate,,,,judge,Academy of American Poets,Lenore Marshall Poetry Prize,2020,poetry,book,25000.0,A Fortune For Your Disaster
9,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1954,prose,book,15000.0,The Waking
10,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1941,prose,book,15000.0,Sunderland Capture
11,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,2012,prose,book,15000.0,No Winner
12,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1974,prose,book,15000.0,No Winner
13,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1971,prose,book,15000.0,No Winner
14,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1964,prose,book,15000.0,No Winner
15,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1957,prose,book,15000.0,No Winner
16,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1946,poetry,book,15000.0,No Winner
17,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Columbia University,Pulitzer Prize,1946,prose,book,15000.0,No Winner
18,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Academy of American Poets,Academy of American Poets Fellowship,1951,poetry,career,25000.0,
19,1732,No Winner,No Winner,No Winner,,,,,No Winner,No Winner,No Winner,No Winner,No Winner,No Winner,winner,Yale University,Bollingen Prize for Poetry,1953,poetry,career,10000.0,
