author,original_title,original_language,original_publication_year,translated_title,translated_language,translated_publication_year
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Het Alfabethuis,Dutch,2000
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Alfabethuset,Swedish,2001
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Alfabethuset,Norwegian,2006
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Kuća abecede,Croatian,2012
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Das Alphabethaus,German,2012
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Alphabet House,English,2014
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,字母之家,Chinese,2016
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,Más borében,Hungarian,2016
"Adler-Olsen, Jussi",Alfabethuset,Danish,1997,L'Unité Alphabet,French,2017
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,Het Washingtondecreet,Dutch,2006
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,Washingtonský dekret,Czech,2013
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,Das Washington-Dekret,German,2013
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,Washingtondekretet,Norwegian,2013
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,Washingtondekretet,Swedish,2016
"Adler-Olsen, Jussi",Washington dekretet,Danish,2006,The Washington Decree,English,2018
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Kvinnen i buret,Norwegian,2009
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Žena v kleci,Czech,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,De vrouw in de kooi,Dutch,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Erbarmen,German,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Ο φύλακας των χαμένων υποθέσεων,Hebrew,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Konan í búrinu,Icelandic,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,La donna in gabbia,Italian,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Kobieta w klatce,Polish,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Женщина в клетке,Russian,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,La mujer que arañaba las paredes,Spanish,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Kafesteki Kadın,Turkish,2010
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Mercy,English,2011
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Misericorde,French,2011
"Adler-Olsen, Jussi",Kvinden i buret,Danish,2007,Nyomtalanul,Hungarian,2011
