author,author_gender,original_title,original_language,original_publication_year,translated_title,translated_language,translated_publication_year,translator
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Het Alfabethuis,Dutch,2000,"Weeda, Erica"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Alfabethuset,Swedish,2001,"Borglund, Britt"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Aakkostalo,Finnish,2001,"Sappinen, Jorma-Veikko"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,La casa del alfabeto,Spanish,2004,"Pascual Pape, Ana Sofía"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Alfabethuset,Norwegian,2006,"Øvergaard, Kirsti"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Das Alphabethaus,German,2012,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Kuća abecede,Croatian,2012,"Tomčić, Ana"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,The Alphabet House,English,2014,"Schein, Steve"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,アルファベット・ハウス,Japanese,2015,鈴木 恵
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,Más borében,Hungarian,2016,"Sulyok, Viktória"
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,字母之家,Chinese,2016,邱麗穎
"Adler-Olsen, Jussi",m,Alfabethuset,Danish,1997,L'Unité Alphabet,French,2017,"Berg, Caroline"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Het Washingtondecreet,Dutch,2006,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Washingtonský dekret,Czech,2013,"Jírková, Magdalena"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Washingtondekretet,Norwegian,2013,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Das Washington-Dekret,German,2013,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Washingtondekretet,Swedish,2016,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,The Washington Decree,English,2018,"Schein, Steve"
"Adler-Olsen, Jussi",m,Washington dekretet,Danish,2006,Korttitalo,Finnish,2019,"Talvio-Jaatinen, Pirkko"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Kvinnen i buret,Norwegian,2009,"Krogstad, Erik Johannes"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Kobieta w klatce,Polish,2010,"Cymbrykiewicz, Joanna"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,La donna in gabbia,Italian,2010,"D'Avino, Maria Valeria"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,De vrouw in de kooi,Dutch,2010,"De Vries, Kor"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Kafesteki Kadın,Turkish,2010,"Ekşi, Nesbe Nurcan"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Konan í búrinu,Icelandic,2010,"Hilmarsson, Hilmar"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,La mujer que arañaba las paredes,Spanish,2010,"Mendizábal, Juan Mari"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Erbarmen,German,2010,"Thiess, Hannes"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Žena v kleci,Czech,2010,"Václavů, Kristina"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Ο φύλακας των χαμένων υποθέσεων,Greek,2010,"Καψάλης, Xρήστος"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Женщина в клетке,Russian,2010,"Стреблова, Инна"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Misericorde,French,2011,"Christiansen, Monique"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Sieviete būrī,Latvian,2011,"Deniņa, Dace"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Mercy,English,2011,"Hartford, Lisa"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Kvinnan i rummet,Swedish,2011,"Jacobsen, Leif"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Nyomtalanul,Hungarian,2011,"Szöllősi , Adrienne"
"Adler-Olsen, Jussi",m,Kvinden i buret,Danish,2007,Կինը վանդակում: Վեպ,Armenian,2012,"Aghabekyan, Aleksandr"
