htid	author	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	best_rank	debut_rank	first_week	hathi_rights	isbn	oclc	oclc_eholdings	oclc_holdings	oclc_owi	title	title_id	year
pst.000033362915	Sue Grafton	Grafton, Sue	n81098191	113386374	Q234865	1	10	1995-09-17	ic		33894149	183	5276	6837998	"""L"" IS FOR LAWLESS"	4	1995
mdp.39015053378256	Sue Grafton	GRAFTON, SUE	n81098191	113386374	Q234865	1	14	2001-06-24	ic	0786229489	46918038	399	5421	881672	"""P"" IS FOR PERIL"	7	2001
mdp.39015040572409	Dick Francis	Francis, Dick	n79135492	24601518	Q314929	5	4	1997-10-12	ic	0718142888	37781088	270	3080	539074	10 LB. PENALTY	13	1997
uc1.b4421473	Gerald A. Browne	Browne, Gerald A.	n50042826	36915445	Q5548861	10	1	1982-09-05	ic	0877954135	8650606	147	848	288000104	19 PURCHASE STREET	24	1982
mdp.39015060875179	Bebe Moore Campbell	Campbell, Bebe Moore, 1950-2006	n85289344	85651926	Q4878309	11	15	2005-07-17	ic	1400040744	56329654	152	1595	217664426	72 HOUR HOLD	41	2005
uc1.b4975998	M. Scott Peck	Peck, M. Scott (Morgan Scott), 1936-2005	n78044338	109031056	Q663928	13	10	1990-09-16	ic	0553070037	21196799	95	1263	57888609	A BED BY THE WINDOW	48	1990
mdp.39015008165196	Elie Wiesel	Wiesel, Elie, 1928-2016	n79039905	108176447	Q18391	8	5	1970-03-22	ic		58221	99	2447	600433	A BEGGAR IN JERUSALEM	49	1970
pst.000025930993	Elie Wiesel	Wiesel, Elie, 1928-2016	n79039905	108176447	Q18391	8	5	1970-03-22	ic	0805207783	11344198	99	2447	600433	A BEGGAR IN JERUSALEM	49	1970
mdp.39015025036917	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	nobody|ic		284933	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39015049779740	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	nobody|ic		284933	101	4337	49918858	A BELL FOR ADANO	50	1944
pst.000030860100	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		38263689	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39015012833763	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		30317753	101	4337	49918858	A BELL FOR ADANO	50	1944
mdp.39076006266766	John Hersey	Hersey, John, 1914-1993	n79054652	105148984	Q535812	2	4	1944-03-05	ic		3009981	101	4337	49918858	A BELL FOR ADANO	50	1944
uc1.32106013836868	Joan Didion	Didion, Joan	n78089822	100261335	Q267691	8	1	1977-04-24	ic	0679754865	31434375	149	2642	8841355	A BOOK OF COMMON PRAYER	54	1977
mdp.39015003930461	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	11	12	1951-02-25	und		285952	11	1081	57066713	A BREATH OF AIR	55	1951
uc1.$b102642	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	11	12	1951-02-25	und		285952	11	1081	57066713	A BREATH OF AIR	55	1951
mdp.39015062594760	Diana Gabaldon	Gabaldon, Diana	n90697072	40164873	Q272492	1	2	2005-10-16	ic	0385324162	61280307	512	3902	686253194	A BREATH OF SNOW AND ASHES	56	2005
uc1.$b101955	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015000618572	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015000618663	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic|und		365954	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.49015001344689	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic		222927017	80	3762	49051517	A BURNT-OUT CASE	58	1961
inu.39000003569436	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic	0434305642	1380611	80	3762	49051517	A BURNT-OUT CASE	58	1961
pst.000029884575	Graham Greene	Greene, Graham, 1904-1991	n79021903	59083415	Q128560	3	1	1961-02-26	ic		10599204	80	3762	49051517	A BURNT-OUT CASE	58	1961
mdp.39015003930867	Rumer Godden	Godden, Rumer, 1907-1998	n79063768	110463979	Q434735	12	6	1948-08-29	ic|und		285954	49	1030	57066428	A CANDLE FOR ST. JUDE	59	1948
