id,author,author_authorized_heading,author_lccn,author_viaf,author_wikidata,best_rank,debut_rank,first_week,oclc,oclc_eholdings,oclc_holdings,oclc_isbn,oclc_owi,title,total_weeks,year
0,Sue Grafton,"Grafton, Sue",n81098191,113386374,Q234865,2,15,5/5/91,22812747,194,5057,080501084X,546526,"""H"" IS FOR HOMICIDE",15,1991
1,Sue Grafton,"Grafton, Sue",n81098191,113386374,Q234865,2,2,4/26/92,25009299,163,5123,0805010858,354781,"""I"" IS FOR INNOCENT",11,1992
10,Sue Grafton,"Grafton, Sue",n81098191,113386374,Q234865,8,8,5/6/90,20560785,181,5071,0805004610,546524,''G'' IS FOR GUMSHOE,6,1990
100,W. Bruce Cameron,"Cameron, Bruce W.,",n2001024987,47877397,Q7945367,14,14,5/27/12,760974817,99,2444,9.78077E+12,1661230047,A DOG'S JOURNEY,1,2012
1000,Kimberla Lawson Roby,"Roby, Kimberla Lawson",n97066944,46049281,Q20711059,14,14,2/19/06,57573794,96,1265,0060780770,917586430,CHANGING FACES,1,2006
1001,Patricia Cornwell,"Cornwell, Patricia Daniels",n82218798,36976332,Q231467,7,7,12/4/16,939703961,255,4033,9.78006E+12,4928376689,CHAOS,3,2016
1002,Frank Herbert,"Herbert, Frank",n80044450,59083797,Q7934,2,14,4/21/85,11133684,203,3504,0399130276,323111346,CHAPTERHOUSE: DUNE,16,1985
1003,Sandra Brown,"Brown, Sandra, 1948-",n88012222,114156159,Q258096,10,12,5/1/94,29023348,156,2902,0446516562,2754332376,CHARADE,5,1994
1004,John Jakes,"Jakes, John, 1932-",n80035843,99848788,Q1258959,12,12,8/25/02,49415575,90,2672,0525946500,701938,CHARLESTON,4,2002
1005,Sebastian Faulks,"Faulks, Sebastian",n84189782,106994448,Q443055,17,17,3/14/99,39391219,134,1889,037550169X,196602657,CHARLOTTE GRAY,1,1999
1006,E.B. White,"White, E. B. (Elwyn Brooks), 1899-1985",n79054648,66475004,Q361617,13,13,11/9/52,225924,249,13719,9.78006E+12,20031489,CHARLOTTE'S WEB,3,1952
1007,Kendall Hart,"Hart, Kendall",n2007088222,68389190,,13,15,2/24/08,166372873,56,712,9.7814E+12,117488543,CHARM!,2,2008
1008,Susan Ertz,"Ertz, Susan",n50008969,66828200,Q7647805,8,12,7/15/56,3910976,21,438,,12431148,CHARMED CIRCLE,11,1956
1009,Alice McDermott,"McDermott, Alice",n81122668,87874048,Q1242948,5,12,12/27/98,38161224,122,3695,0374120803,532852,CHARMING BILLY,6,1998
101,Peter Mayle,"Mayle, Peter",n50007323,44302507,Q531759,5,12,4/9/95,31607119,100,2066,0679441220,9309858,A DOG'S LIFE,9,1995
1010,Kaye Gibbons,"Gibbons, Kaye, 1960-",n86088406,2493206,Q6380527,11,11,5/2/93,27068534,108,2390,0399137912,429391,CHARMS FOR THE EASY LIFE,8,1993
1011,R. A. Salvatore,"Salvatore, R. A., 1959-",n85364077,112374441,Q316431,4,4,8/26/12,768799542,178,1114,9.78079E+12,3375581236,CHARON'S CLAW,1,2012
1012,R. A. Salvatore,,,,,16,16,9/2/12,,,,,,CHARON’S CLAW,1,2012
1013,Peter Mayle,"Mayle, Peter",n50007323,44302507,Q531759,6,14,6/22/97,36959893,110,2105,0679455116,570405,CHASING CEZANNE,12,1997
1014,Robert Crais,"Crais, Robert",n88103420,110237124,Q922053,7,7,7/20/08,213358233,137,3660,9.78074E+12,131333516,CHASING DARKNESS,2,2008
