unique_id,publication_date,year,title,section,author_name,last_name,first_name,author_gender,author_nea,author_bestseller,author_prize,author_iowa
1,12/1/1953,1953,A Horseman in the Sky,fiction,Ambrose Bierce,Bierce,Ambrose,M,,,,
2,12/1/1953,1953,Introducing Sherlock Homes,fiction,Arthur Conan Doyle,Doyle,Arthur Conan,M,,,,
3,12/1/1953,1953,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
4,1/1/1954,1954,Scandal in Bohemia,fiction,Arthur Conan Doyle,Doyle,Arthur Conan,M,,,,
5,1/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
6,1/1/1954,1954,The Christmas Party,fiction,Hef,,Hef,M,,,,
7,2/1/1954,1954,The Adventure of the Copper Beeches,fiction,Arthur Conan Doyle,Doyle,Arthur Conan,M,,,,
8,2/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
9,2/1/1954,1954,New Cabin,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
10,3/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
11,3/1/1954,1954,The Medicine Man,fiction,Erskine Caldwell,Caldwell,Erskine,M,,yes,,
12,3/1/1954,1954,Farenheit 451,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
13,4/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
14,4/1/1954,1954,Farenheit 451,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
15,5/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
16,5/1/1954,1954,Farenheit 451,fiction,Ray Bradbury,Bradbury,Ray,M,,yes,yes,
17,6/1/1954,1954,Tales from the Decameron,fiction,Boccaccio,,Boccaccio,M,,,,
18,6/1/1954,1954,A Woman of Fifty,fiction,W. Somerset Maugham,Maugham,W. Somerset,M,,yes,,
19,7/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
20,7/1/1954,1954,A Voice in the Night,fiction,William Hope Hodgson,Hodgson,William Hope,M,,,,
21,8/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
22,9/1/1954,1954,Ribald Classics,fiction,Boccaccio,,Boccaccio,M,,,,
23,9/1/1954,1954,Black Country,fiction,Charles Beaumont,Beaumont,Charles,M,,,,
