ranking,title,author,publisher,publisher_variants,date,genre,publication_date,publication_location,marc_country_code,isbn_number,oclc_number,viaf_permalink,viaf_id,source_link,unique_id
1,Bay Poetics,"Young, Stephanie (editor)",Faux Press,,May 2006,Poetry,2006,"Cambridge, MA",mau,9780976521136,70110282,http://viaf.org/viaf/29275528,29275528,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0001
2,Home Among the Swinging Stars: The Collected Poems of Jaime de Angulo,"Angulo, Jaime de ; Hyner, Stefan (editor)",La Alameda Press,,May 2006,Poetry,2006,"Albuquerque, NM",nmu,9781888809473,62889033,http://viaf.org/viaf/17244350; http://viaf.org/viaf/5730149068584065730001,17244350 ; 5730149068584065730001,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0002
3,The Truant Lover,"Patterson, Juliet",Nightboat Books,,May 2006,Poetry,2006,"Beacon, NY",nyu,9780976718529,62732686,http://viaf.org/viaf/33873277,33873277,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0003
4,Moraine,"Fuhrman, Joanna",Hanging Loose Press,,May 2006,Poetry,2006,"Brooklyn, NY",nyu,9781931236546,63692673,http://viaf.org/viaf/43635404,43635404,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0004
5,"A Tall, Serious Girl: Selected Poems 1957-2000","Stanley, George ; Davies, Kevin (editor) ; Fagin, Larry (editor)",Qua Books,,May 2006,Poetry,2003,"Jamestown, RI",riu,9780970876324,53462521,http://viaf.org/viaf/30781582,30781582,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0005
6,Cheerleader's Guide to the World: Council Book,"Doris, Stacy",Roof Books,,May 2006,Poetry,2006,"New York, NY",nyu,9781931824187,68810580,http://viaf.org/viaf/46920235,46920235,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0006
7,Things of Each Possible Relation Hashing Against One Another,"Spahr, Juliana",Palm Press,,May 2006,Poetry,2003,"Newfield, NY",nyu,9780974318103,53868554,http://viaf.org/viaf/1147904924279090653,1147904924279090653,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0007
8,Crosses: Poems 1992-1998,"Taggart, John",Stop Press,,May 2006,Poetry,2005,London,,9780954760304,70047724,http://viaf.org/viaf/114145687,114145687,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0008
9,Startle Response,"Fuller, Heather",O Books,,May 2006,Poetry,2005,"Oakland, CA",cau,9781882022557,60707508,http://viaf.org/viaf/29138640,29138640,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0009
10,Strand,"Dworkin, Craig Douglas",Roof Books,,May 2006,Poetry,2005,"New York, NY",nyu,9781931824149,58726851,http://viaf.org/viaf/19315105,19315105,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0010
11,Black Dog Songs,"Jarnot, Lisa",Flood Editions,,May 2006,Poetry,2003,"Chicago, IL",ilu,9780971005990,54000608,http://viaf.org/viaf/106736247,106736247,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0011
12,Petroleum Hat,"Gardner, Drew",Roof Books,,May 2006,Poetry,2005,"New York, NY",nyu,9781931824170,62863178,http://viaf.org/viaf/73500555,73500555,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0012
13,Some Notes on My Programming,"Berrigan, Anselm",Edge Books,,May 2006,Poetry,2005,"Washington, DC",dcu,9781890311209,68810649,http://viaf.org/viaf/51972890,51972890,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0013
14,Twenty-one After Days,"Lubasch, Lisa",Avec Books,,May 2006,Poetry,2006,"Penngrove, CA",cau,9781880713372,65404001,http://viaf.org/viaf/39656066,39656066,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0014
15,Wisteria: Twilight Poems from the Swamp Country,"Dawes, Kwame Senu Neville",Red Hen Press,,May 2006,Poetry,2006,"Los Angeles, CA",cau,9781597090599,63790865,http://viaf.org/viaf/65093267,65093267,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0015
16,This One Tree,"Peterson, Katie",New Issues Press,New Issues Poetry & Prose,May 2006,Poetry,2006,"Kalamazoo, MI",miu,9781930974616,69733926,http://viaf.org/viaf/12064096,12064096,https://web.archive.org/web/20061002051957/http://spdbooks.org/GEN2006MayBest.asp,SPD0016
